인덱스,상품명,가격,이미지
0,춘천 옥소금 소금빵(50g),"2,690원",https://image.wingeat.com/item/main/8eaa3fdd8eec452c9cb2242390d17871-w600-v2.jpg
1,널담 4cm 뚱카롱 (8개입),"15,000원",https://image.wingeat.com/item/main/8bbff26226604db986ccb513924455e2-w600-v2.jpg
2,달롤 우유 생크림 롤케이크 4종,"5,620원",https://image.wingeat.com/item/main/775ac9460980455db243acf3bacebe23-w600.jpg
3,"망원동 티라미수 (빅오리지널, 230g)","10,200원",https://image.wingeat.com/item/main/d3e94c0e9e2a4b999e4e11eb160c5ac0-w600.jpg
4,아우어베이커리 시그니처 초코 4종,"3,400원",https://image.wingeat.com/item/main/5b5c4c652a88403abd011dfa50ef79d1-w600.jpg
5,"망넛이네 찹싸루니 6종 (1개입, 90g)","3,500원",https://image.wingeat.com/item/main/e686ff11cff2443dbe37ed03568a9b3b-w600.jpg
6,남향푸드또띠아 브리또 10종,"3,000원",https://image.wingeat.com/item/images/198c0f0f-e0a9-475b-9727-4f1d8e197462-w600.jpg
7,[써드베이커리] 냉동 생지 4종,"5,090원",https://image.wingeat.com/item/main/0d1e73db74c948ccb47c239db0541aaa-w600.jpg
8,"[써드베이커리] 베이글 3종 (개별포장, 110g)",990원,https://image.wingeat.com/item/main/61b9dccd6d6b44b99bd947032cb0403b-w600.jpg
9,"레델리스듀세프 프랑스 팬케이크 (340g, 4개입) ","5,900원",https://image.wingeat.com/item/main/78912cc935bf4e17a55560d8b58d1f58-w600.jpg
10,뚝방길 홍차가게 스콘 생지 6종 (4개입),"6,400원",https://image.wingeat.com/item/main/145f1e106c0a4c488d753968fcae04d2-w600.jpg
11,메이플조 메이플시럽 (150g) ,"4,980원",https://image.wingeat.com/item/main/0023f1ac81e04c6cb42ad68c9f89a2d4-w600.jpg
12,아우어베이커리 바스크 치즈 케이크 3종,"7,900원",https://image.wingeat.com/item/images/14d5486a-286d-4d28-8af5-946351fbb4e5-w600.jpg
13,줄 서서 먹는 춘천 감자빵 4종 (3개입),"9,900원",https://image.wingeat.com/item/images/adaf756f-a0ab-4e9f-be60-9f01636aa85d-w600.jpg
14,산로렌조 리얼 과카몰리 (3개입),"6,830원",https://image.wingeat.com/item/images/f844a2d9-c08a-4fb9-bdc0-b66e32cca5de-w600.jpg
15,푸드렐라 크림스프 (양송이크림/트러플감자),"3,100원",https://image.wingeat.com/item/images/6f64cfeb-5b03-4e9d-abc7-ba5763d96ab7-w600.jpg
16,유로포멜라 부라타치즈 (100g),"5,500원",https://image.wingeat.com/item/images/8313c872-7008-4ffa-8b4e-72031399625f-w600.jpg
17,설탕없는과자공장 고단백 산소빵 3종,"2,050원",https://image.wingeat.com/item/main/92fae02779d347c8956815ad90c9c39f-w600-v2.jpg
18,"잠봉뵈르 샌드위치 (140g, 1개입)","4,400원",https://image.wingeat.com/item/main/87942460a75942ad93163e15c50bf808-w600-v2.jpg
19,널담 고단백 통밀 르뱅쿠키 6종,"2,990원",https://image.wingeat.com/item/main/e48488f2b5f04a90b3ebeef668e4a1cc-w600-v2.jpg
20,"바스크 번트 치즈케이크 (165g, 1개입)","4,400원",https://image.wingeat.com/item/main/a430263b28744b54aabb157109d31baa-w600-v2.jpg
21,"앙버터 바게트 (140g, 1개입)","3,700원",https://image.wingeat.com/item/main/290d0583c8d7404db58d20e2d45a153f-w600-v2.jpg
22,세미원 인도커리 & 갈릭버터 난 (2인분),"7,100원",https://image.wingeat.com/item/main/dbae703b28b64c9fb03115f4c52e1e7b-w600.jpg
23,식부관 콩고물 조청브레드 (460g),"11,000원",https://image.wingeat.com/item/main/26b216908ec94347be52049c0b4a0769-w600-v2.jpg
