인덱스,상품명,가격,이미지
0,[랠리] 곤약김밥 2종,"3,800원",https://image.wingeat.com/item/main/1be1aab45cce4c01b1567fa952dec451-w600-v2.jpg
1,[포지브] 썬드라이토마토 파스타 (220g),"5,400원",https://image.wingeat.com/item/main/f7fe5a89390e4403b88802fb14ef316a-w600-v2.jpg
2,[오늘도] 서리태 두유 (190ml x 16팩),"10,900원",https://image.wingeat.com/item/main/90c6efe52fad4d2fb8779f65325007eb-w600.jpg
3,[랠리] 그릴 닭가슴살 스테이크 4종,"1,390원",https://image.wingeat.com/item/images/395dffb9-5e98-4e0c-9f1c-de25b62e3be6-w600.jpg
4,[포지브] 올리브페스토 파스타 (220g),"5,400원",https://image.wingeat.com/item/main/8d794e6118034e198a1d2095e6c8a138-w600-v2.jpg
5,그릭데이 그릭요거트 시그니처&라이트(100g),"3,000원",https://image.wingeat.com/item/main/882748660ecb4e159e0de1f583a7041c-w600-v2.jpg
6,해초미인 9kcal 미역면 & 11kcal 다시마면 ,"1,900원",https://image.wingeat.com/item/main/bc42657b5a314e949eb862aebae921fc-w600-v2.jpg
7,허닭 닭가슴살 함박스테이크 4종 (1개입) ,"1,500원",https://image.wingeat.com/item/main/1e20cdd439fa4c1284c4d339daee7899-w600-v2.jpg
8,청정원 라이틀리 바로먹는 곤약면 4종 (소스/육수 포함),"3,150원",https://image.wingeat.com/item/main/27244fa34c4a4ad6b9c2614d55528d7e-w600-v2.jpg
9,불로구마 직화 아이스 꿀고구마 (130g / 500g),"1,990원",https://image.wingeat.com/item/main/8699e9eff7c744ab83aa7f44b2ade3dd-w600.jpg
10,[포지브] 깻잎페스토 리조또 (220g),"5,600원",https://image.wingeat.com/item/main/e1ff2b1333cb4e86b4d3502b5f775019-w600-v2.jpg
11," 닭가슴살 양배추 쌈(닭양쌈, 8개입)","3,100원",https://image.wingeat.com/item/main/3d3dc67e31f245209176e2327031aaf8-w600-v2.jpg
12,기장물산 해초샐러드 2종 (비빔/레몬갈릭),"2,300원",https://image.wingeat.com/item/main/0d5e10f9e8794369946aecd4fe73b0dc-w600.jpg
13,청정원 라이틀리 곤약볶음밥 7종,"2,300원",https://image.wingeat.com/item/main/b14ac37689d047f89d352bf953cd0805-w600-v2.jpg
14,의령 야베스 목장 수제 요거트 4종 (500mL),"4,900원",https://image.wingeat.com/item/main/68680758680a4e0a82613f87c576ab65-w600.jpg
15,풍림푸드 뿌셔먹는 에그샐러드 2종 (150g),"2,470원",https://image.wingeat.com/item/main/b380b6b9a9524f1986aae2d3442e016a-w600.jpg
16,후이펑 닭표 스리라차 소스 (255g),"3,880원",https://image.wingeat.com/item/main/81bcdb70ec344fafa5d1359dc27f5c18-w600.jpg
17,습관상점 연어스테이크 4종 (80g),"3,950원",https://image.wingeat.com/item/images/f78581a3-9bdd-48b0-abb3-2bd5df9b08c0-w600.jpg
18,오트사이드 귀리우유 (오리지널/초코) ,"4,480원",https://image.wingeat.com/item/main/0d9eab9b69f94e3385d95e75f2e39c6f-w600-v2.jpg
19,단백질제면소 고단백 식단면 생면 (1개입/3개입),"2,900원",https://image.wingeat.com/item/images/c0a30b07-3a95-47de-b297-77e252ac24e4-w600.jpg
20,오감가든 나물 비빔밥 4종 ,"4,600원",https://image.wingeat.com/item/main/e16cf4564a2a4473abb6ae5dd50d767c-w600.jpg
21,"아임얼라이브 유기농 콤부차 시즌2 (체리애플/자몽애플, 360ml)","3,800원",https://image.wingeat.com/item/main/8c74fe24b9164fd19966e43ca8ba4f21-w600-v2.jpg
22,[랠리] 도시락 17종 골라담기,"3,800원",https://image.wingeat.com/item/main/a1af0f765a8e4db3b3685326850cacbf-w600-v2.jpg
23,[랠리] 닭가슴살 23종 골라담기,990원,https://image.wingeat.com/item/images/024e90b9-0ac8-4e57-aa25-63a1c37f5756-w600.jpg
