인덱스,상품명,할인율,할인가,원가,이미지
44,무항생제 한우 도가니탕 (600g),16%,"16,700","20,000",https://www.oasis.co.kr:48581/product/4133/thumb/thumb_4133acb48c21-2c12-4899-89a6-776bdce6b3dc.jpg_300
45,[화심두부]맑은탕 버섯 순두부찌개1봉(680g),7%,"6,500","7,000",https://www.oasis.co.kr:48581/product/8022/thumb/thumb_80226fc948e4-4df5-48eb-bbed-f3dfa62ad816.jpg_300
46,감자옹심이 (500g),20%,"5,600","7,000",https://www.oasis.co.kr:48581/product/7674/thumb/thumb_76749d81e8f1-2de7-478a-980a-25937d044196.jpg_300
47,[화심두부]고기 순두부 찌개 1봉(450g),7%,"5,950","6,400",https://www.oasis.co.kr:48581/product/3662/thumb/thumb_36629a14bbcd-a59f-4eb5-980e-5c8699f51b97.jpg_300
48,[화심두부]바지락 순두부 찌개 (680g/1봉),6%,"6,350","6,800",https://www.oasis.co.kr:48581/product/3661/thumb/thumb_3661e8d53472-b047-4fcb-a8c1-0ee8ebe9d195.jpg_300
49,구수한청국장찌개(500g),20%,"6,000","7,500",https://www.oasis.co.kr:48581/product/33619/thumb/thumb_33619dca4f7fb-674a-4407-848a-505228031280.jpg_300
50,한우고기곰탕(1kg),40%,"7,200","12,000",https://www.oasis.co.kr:48581/product/2868/thumb/thumb_2868577c961a-81fa-44e3-a0bb-b2408d42c0d3.jpg_300
51,섬진강 재첩국 (500g),16%,"5,000","6,000",https://www.oasis.co.kr:48581/product/1868/thumb/thumb_1868dba4addd-9b89-4520-9e2b-854fe570afc4.jpg_300
52,유기농 한우 진한고기곰탕 (500g),19%,"7,900","9,800",https://www.oasis.co.kr:48581/product/2871/thumb/thumb_287129422906-f9c7-4ef9-8560-efcbe54e90cf.jpg_300
53,육개장 (430g) / 미당,20%,"6,800","8,500",https://www.oasis.co.kr:48581/product/3792/thumb/thumb_379268eb4f60-86cb-40f8-926a-3813d9338060.jpg_300
54,추어탕 (500g) / 미당,20%,"5,520","6,900",https://www.oasis.co.kr:48581/product/1309/thumb/thumb_1309416ce92c-d7e8-4132-89f1-e98e01fd7482.jpg_300
55,한우소머리곰탕 500ml,20%,"6,960","8,700",https://www.oasis.co.kr:48581/product/3077/thumb/thumb_30774e4b86f6-9428-4bc7-8e92-99af21114c2e.jpg_300
56,한우 사골 도가니탕(500g),20%,"7,920","9,900",https://www.oasis.co.kr:48581/product/2743/thumb/thumb_274315a2f76d-28ec-4306-8230-e5f7e9c6daef.jpg_300
57,하동재첩국 (500g),18%,"4,500","5,500",https://www.oasis.co.kr:48581/product/3748/thumb/thumb_37481cb7dc9a-51e5-4e96-9b9d-6cec4498e70a.jpg_300
58,올갱이된장해장국 500g,23%,"4,600","6,000",https://www.oasis.co.kr:48581/product/3360/thumb/thumb_336064b60f61-f3b9-4087-b425-6996a0e9e508.jpg_300
59,콩순이네 우렁된장찌개 500g,23%,"4,600","6,000",https://www.oasis.co.kr:48581/product/3361/thumb/thumb_33618e199e24-ae84-43f2-9be1-bb52f96307fc.jpg_300
60,자연에찬 육개장 (500g),19%,"8,200","10,200",https://www.oasis.co.kr:48581/product/2730/thumb/thumb_273029c22b0b-2b48-401b-8ed7-65301599296a.jpg_300
61,뼈없는 감자탕 (430g) / 미당,20%,"6,000","7,500",https://www.oasis.co.kr:48581/product/3791/thumb/thumb_379169708ef0-74a2-4ed0-bd43-0905ea55f334.jpg_300
62,자연에찬 비지찌개(500g),20%,"6,500","8,200",https://www.oasis.co.kr:48581/product/2738/thumb/thumb_2738880e1fe6-ab80-438d-8ef8-31850d99318a.jpg_300
63,소고기미역국 (450g) / 미당,20%,"4,960","6,200",https://www.oasis.co.kr:48581/product/42146/thumb/thumb_42146c71dbb6f-5b56-4a7a-8669-b0c72a724b80.jpg_300
64,황태탕 (500g) / 미당,20%,"5,040","6,300",https://www.oasis.co.kr:48581/product/1301/thumb/thumb_1301302b0b94-033b-48a8-83eb-78276f1af9e4.jpg_300
65,우렁된장찌개(500g) / 미당,20%,"6,280","7,850",https://www.oasis.co.kr:48581/product/2119/thumb/thumb_2119d989c99f-6522-4f27-812f-0ca9d4975254.jpg_300
66,묵은지 찌개(500g) / 미당,19%,"4,660","5,820",https://www.oasis.co.kr:48581/product/2444/thumb/thumb_24449cebf806-62ed-4376-85f1-66534f4128ed.jpg_300
67,유기농 한우 소머리곰탕(500g),27%,"6,500","9,000",https://www.oasis.co.kr:48581/product/8973/thumb/thumb_897312f33a38-fca3-4e6e-89d1-6137aa395a25.jpg_300
68,[금강수림]한우소고기무국(1kg),10%,"13,500","15,000",https://www.oasis.co.kr:48581/product/3274/thumb/thumb_32745e31c900-13fe-4b3c-a277-31f2c592517c.jpg_300
69,진한 한방 녹두삼계탕(900g/무항생제),15%,"13,600","16,000",https://www.oasis.co.kr:48581/product/5370/thumb/thumb_53700c7b02e6-a677-4796-8aa3-b9c79c3a94bf.jpg_300
70,감미옥 설렁탕 570g,18%,"9,400","11,500",https://www.oasis.co.kr:48581/product/37621/thumb/thumb_37621dd936571-1779-4df1-83a9-431bc75a2720.jpg_300
71,매생이굴국 (350g),18%,"3,690","4,500",https://www.oasis.co.kr:48581/product/3771/thumb/thumb_37714553ed58-bf18-463e-99e0-26ef6e1544be.jpg_300
72,설성목장 한우 소머리 설렁탕(500g),20%,"9,600","12,000",https://www.oasis.co.kr:48581/product/36909/thumb/thumb_3690930488acd-1ee1-4f3c-abeb-3f6eb588dbb6.jpg_300
73,"[63파빌리온]설악황태진국(2인분,540g)",29%,"12,600","17,900",https://www.oasis.co.kr:48581/product/32944/thumb/thumb_329441b9591d9-1bda-4138-8005-d563d391f4d3.png_300
