인덱스,상품명,할인율,할인가,원가,이미지
0,"[중앙해장] 한우 내장탕(소스포함, 816g)",13%,"13,900","16,000",https://www.oasis.co.kr:48581/product/37800/thumb/thumb_37800e597bcf4-9b6e-4d5a-ad71-2da68839b50f.jpg_300
1,[금강수림]한돈고추장찌개(1kg),10%,"12,600","14,000",https://www.oasis.co.kr:48581/product/8545/thumb/thumb_85453c5b8afd-85c4-4276-8d38-c06c4e0d7960.jpg_300
2,고로쇠된장 시래기국(550g),20%,"5,200","6,500",https://www.oasis.co.kr:48581/product/46377/thumb/thumb_46377018dc80e-d326-47cd-a64f-0479a9893081.jpg_300
3,초이스쿡 전복미역국(700g),31%,"6,100","8,900",https://www.oasis.co.kr:48581/product/26203/thumb/thumb_26203e383527d-933c-477e-b8b2-7c76d9fb5ca9.jpg_300
4,흰색 양송이버섯 ( 100g 내외),36%,"2,280","3,600",https://www.oasis.co.kr:48581/product/44210/thumb/thumb_44210fdbf9872-1190-4145-bd71-39b58c242f62.jpg_300
5,시래기된장국(500g) / 미당,20%,"4,040","5,050",https://www.oasis.co.kr:48581/product/2118/thumb/thumb_21188fd0a029-1bf2-422c-9323-c2fde27d4878.jpg_300
6,맛있는집밥 김치찌개 (500g),18%,"5,520","6,800",https://www.oasis.co.kr:48581/product/2091/thumb/thumb_209133ca4262-7af5-4166-b972-0592f38af243.jpg_300
7,우리한우 도가니곰국(1kg),30%,"9,100","13,000",https://www.oasis.co.kr:48581/product/3534/thumb/thumb_3534f277a6cc-e527-4bba-b4fb-c26ccece179d.jpg_300
8,맛있는집밥 김치찜 (500g),18%,"6,440","7,900",https://www.oasis.co.kr:48581/product/2092/thumb/thumb_20929f621174-1db3-4695-a10a-f895c21faef4.jpg_300
9,토종 추어탕 500g,20%,"5,600","7,000",https://www.oasis.co.kr:48581/product/3122/thumb/thumb_3122fa6efdea-4798-4c89-b837-8da61558f226.jpg_300
10,흰색 양송이버섯 ( 180g 내외),25%,"4,050","5,400",https://www.oasis.co.kr:48581/product/43080/thumb/thumb_430801387ef00-2ac8-4616-9c2d-1b3cf5343367.jpg_300
11,무항생제 한우 고기곰탕 (500g),20%,"9,600","12,000",https://www.oasis.co.kr:48581/product/3387/thumb/thumb_338717f9902d-a1c4-4101-a001-a9170fbce1ea.jpg_300
12,곤드레 된장찌개 (200g),0%,"4,600","4,600",https://www.oasis.co.kr:48581/product/3285/thumb/thumb_3285802177f2-be92-4781-82df-5bbfd1d8f202.jpg_300
13,우리한우곰탕 (1kg),47%,"4,500","8,500",https://www.oasis.co.kr:48581/product/1778/thumb/thumb_1778fe09d236-7bea-45ff-ba28-3038eb60d6cc.jpg_300
14,콩탕 (200g),0%,"4,300","4,300",https://www.oasis.co.kr:48581/product/3280/thumb/thumb_3280ca4c1580-1d4a-4ead-b847-ec352ae54a50.jpg_300
15,감미옥 도가니탕 650g,16%,"15,400","18,500",https://www.oasis.co.kr:48581/product/38333/thumb/thumb_383338668fd2e-36c8-4152-a782-3a4764632c88.jpg_300
16,우리 한우 진한곰탕(600g),53%,"2,800","6,000",https://www.oasis.co.kr:48581/product/2872/thumb/thumb_287283f5e309-d509-4469-8ea5-909d99d093f5.jpg_300
17,성게미역국 (430g) / 미당,20%,"8,720","10,900",https://www.oasis.co.kr:48581/product/1378/thumb/thumb_13784483491e-4d08-4764-a5d6-090e0316e502.jpg_300
18,무농약 양송이버섯 (180g전후),22%,"4,280","5,500",https://www.oasis.co.kr:48581/product/491/thumb/thumb_49137bb4d1b-c6da-483a-8b05-7d8183911881.jpg_300
19,[MD추천] 무농약 양송이버섯 (130g전후),16%,"3,180","3,800",https://www.oasis.co.kr:48581/product/44211/thumb/thumb_4421116b42b1f-203d-4da7-895f-e98a828c2e9b.jpg_300
20,"생물 아귀탕 (2~3인분,800g)",32%,"18,900","28,000",https://www.oasis.co.kr:48581/product/42561/thumb/thumb_42561f1224bca-24f5-4dbf-9eec-3ba765685cf3.jpg_300
21,"[만석장]들깨 순두부찌개(2인분,600g)",26%,"7,300","9,900",https://www.oasis.co.kr:48581/product/38256/thumb/thumb_3825665f1b723-d40e-49f4-a3ec-c8080ecb5022.jpg_300
22,무농약 표고버섯(180g전후),20%,"4,380","5,500",https://www.oasis.co.kr:48581/product/488/thumb/thumb_488f6036c1a-3f56-4be6-aa03-58e721c10d6c.jpg_300
23,꽃보다쌀 들깨수제비(2인분/368g),35%,"5,000","7,800",https://www.oasis.co.kr:48581/product/9509/thumb/thumb_9509fa257887-f6c6-43a9-bf5f-feaf451cfb15.jpg_300
24,무농약 갈색팽이버섯(250g),40%,"1,200","2,000",https://www.oasis.co.kr:48581/product/2790/thumb/thumb_279040c778da-b69a-4057-8d64-b88840a647b8.jpg_300
25,청국장찌개 (160g),0%,"4,300","4,300",https://www.oasis.co.kr:48581/product/3298/thumb/thumb_3298c2bba3aa-f1db-4ee8-b744-b5984efa0faa.jpg_300
26,남원골 추어탕 (500g),15%,"6,800","8,000",https://www.oasis.co.kr:48581/product/3218/thumb/thumb_32189215a145-aeb4-4fab-ac44-03d37e1f96d4.jpg_300
27,남원골 장어탕 (500g),20%,"7,200","9,000",https://www.oasis.co.kr:48581/product/3219/thumb/thumb_3219149e5451-d253-4a48-9d35-f68da27dc62f.jpg_300
28,[금강수림]바지락황태국(1kg),11%,"12,000","13,500",https://www.oasis.co.kr:48581/product/3273/thumb/thumb_3273cc335b75-58aa-4c2b-bdef-d9021169833f.jpg_300
29,동태고니탕(1.2kg),20%,"10,160","12,700",https://www.oasis.co.kr:48581/product/2767/thumb/thumb_2767cc1a6090-ad43-42d4-8e19-712da29cfb6a.jpg_300
30,설성목장 닭곰탕 (500g),14%,"7,100","8,300",https://www.oasis.co.kr:48581/product/36894/thumb/thumb_3689407ee3ac9-34b0-4b77-8cdc-92e6a9f5bb91.jpg_300
31,[금강수림]인삼장어탕(1kg),32%,"9,500","14,000",https://www.oasis.co.kr:48581/product/3271/thumb/thumb_32710968083b-d86b-4df4-ac87-9ee67b8f9261.jpg_300
32,라미옥 곱창전골 1730g(2~3인분),14%,"29,900","35,000",https://www.oasis.co.kr:48581/product/46291/thumb/thumb_4629148fde6f1-96cb-471a-b3f9-14154f4a527e.jpg_300
33,설성목장 한우 육개장 (500g),20%,"9,600","12,000",https://www.oasis.co.kr:48581/product/2822/thumb/thumb_282270cc0687-86df-4e7f-bc5c-620d4ae8b81a.jpg_300
34,[4개 1세트] 설성목장 한우고기육수 (200g x 4입),12%,"8,800","10,000",https://www.oasis.co.kr:48581/product/4135/thumb/thumb_41355e713462-beca-4d4f-9497-44a195ca2c3c.gif_300
35,무항생제 한우 얼갈이국 (500g),15%,"10,200","12,000",https://www.oasis.co.kr:48581/product/2825/thumb/thumb_282508abf84d-2a70-462a-a10b-3a684819a5fe.jpg_300
36,바다내음 듬뿍 자른 다시마 (200g),20%,"5,360","6,700",https://www.oasis.co.kr:48581/product/7035/thumb/thumb_70351749128b-e08e-4674-809d-2227c7e51cd4.jpg_300
37,바다내음 듬뿍 완도 다시마 (200g),22%,"4,520","5,800",https://www.oasis.co.kr:48581/product/7034/thumb/thumb_70342a1f7979-4d82-4609-95c1-a48648d14045.jpg_300
38,하동 재첩국(320g),17%,"2,790","3,400",https://www.oasis.co.kr:48581/product/3749/thumb/thumb_37494fb6fa04-7140-4719-b2fc-0776484c5ba0.jpg_300
39,[금강수림]민물새우탕(1kg),3%,"13,500","14,000",https://www.oasis.co.kr:48581/product/3272/thumb/thumb_32724264b791-2586-4cd2-a8f1-83d13e9f1db4.jpg_300
40,무항생제 한우 우족탕 (900g),15%,"15,300","18,000",https://www.oasis.co.kr:48581/product/4132/thumb/thumb_4132ec984e52-9667-4be0-a707-8b8dd2539bbb.jpg_300
41,무항생제 갈비탕 (900g),10%,"22,500","25,000",https://www.oasis.co.kr:48581/product/3121/thumb/thumb_31212b24c16d-98c3-48b9-8cd4-4d728d5b607f.jpg_300
42,고추장찌개 (200g),0%,"4,600","4,600",https://www.oasis.co.kr:48581/product/3286/thumb/thumb_3286e7543eb4-8929-440a-9c71-da7584699857.jpg_300
43,우리돼지국밥 (1kg),34%,"6,180","9,500",https://www.oasis.co.kr:48581/product/3533/thumb/thumb_35339170bf87-e92e-40ae-a056-3d5a7da61573.jpg_300
