상품명,할인율,할인가,원가,이미지
[입점특가] 메쉬포테이토와 케이준 치킨 샐러드 랩(200g/350kcal),20%,"4,720","5,900",https://www.oasis.co.kr:48581/product/48167/thumb/thumb_481673bfe98e0-d7f2-47af-8097-50ff524c44e9.jpg_300
친환경 이탈리안 믹스샐러드(80g),39%,"1,450","2,400",https://www.oasis.co.kr:48581/product/3601/thumb/thumb_36018da43198-f2f9-4f7f-bb82-6603eccbcc94.jpg_300
무농약 어린잎 채소 (50g),20%,"1,810","2,270",https://www.oasis.co.kr:48581/product/2051/thumb/thumb_2051ad1f1997-0ed7-4f03-9611-f1cf8ca3b9e5.jpg_300
[입점특가] GAP 유명산지 수박(5kg미만),30%,"18,200","26,000",https://www.oasis.co.kr:48581/product/47409/thumb/thumb_47409497cc6c5-96e7-491c-ba23-b6a18b0387c6.jpg_300
스윗 믹스 샐러드(80g),25%,"1,500","2,000",https://www.oasis.co.kr:48581/product/12036/thumb/thumb_120364b977d37-091e-4f69-91df-1c37417bcdca.jpg_300
국내산 양파 (1kg),44%,"1,780","3,200",https://www.oasis.co.kr:48581/product/5626/thumb/thumb_5626a8afded3-3473-4219-9395-5c913dda1d31.gif_300
프레쉬 그린 샐러드(80g),25%,"1,500","2,000",https://www.oasis.co.kr:48581/product/12037/thumb/thumb_12037ca1445d2-1dba-494b-a693-a6c49d557c06.jpg_300
시저 콥 샐러드 (185g/245kcal),20%,"4,720","5,900",https://www.oasis.co.kr:48581/product/29643/thumb/thumb_296432ff2fc64-c873-4167-89a2-25de981f030e.jpg_300
무농약 포기로메인 (250g),20%,"2,400","3,000",https://www.oasis.co.kr:48581/product/2800/thumb/thumb_28007d21df2f-7551-494c-b5f3-db6f1c60b7d1.jpg_300
무농약 포기생채 (250g),20%,"2,400","3,000",https://www.oasis.co.kr:48581/product/3578/thumb/thumb_35786c46e526-ce82-4fa7-a725-a30ed6b8576b.jpg_300
[프로모션] 고소한 리코타 치즈와 시금치 페스토 샐러드 (185g/240kcal),25%,"4,420","5,900",https://www.oasis.co.kr:48581/product/5806/thumb/thumb_58060567234c-d979-453a-acf2-2815dfa5e298.jpg_300
쌈케일 / 무농약이상(100g),29%,"1,200","1,700",https://www.oasis.co.kr:48581/product/7447/thumb/thumb_7447dcc62f86-982f-4341-b333-b36039256046.jpg_300
[여름과일채소/20%쿠폰]국내산 양상추(1봉),47%,"1,980","3,800",https://www.oasis.co.kr:48581/product/7336/thumb/thumb_733685df4b38-ff75-4060-b8c7-f75360ad9d1c.jpg_300
포기로메인 / 무농약이상 (250g),20%,"2,640","3,300",https://www.oasis.co.kr:48581/product/7456/thumb/thumb_7456fdb456d7-d548-47e0-8074-523ae73c29ac.jpg_300
손질채소 세트 / 볶음밥용(200g),26%,"2,200","3,000",https://www.oasis.co.kr:48581/product/7380/thumb/thumb_7380dd40e0e0-76ae-458c-af13-e68b918a4c95.jpg_300
무농약 새싹&어린잎 (80g),20%,"2,160","2,700",https://www.oasis.co.kr:48581/product/2050/thumb/thumb_20506a140898-7209-46da-9112-1b73425ff83b.jpg_300
손질채소 세트 /  애호박 듬뿍 찌개용(200g),24%,"2,500","3,300",https://www.oasis.co.kr:48581/product/7381/thumb/thumb_73814189d39b-70a4-4af9-b2d2-23b3c8b4c0a4.jpg_300
[오늘의 특가] 파프리카 빨강/노랑 각 1개씩 (1봉 2개입),31%,"2,180","3,200",https://www.oasis.co.kr:48581/product/8082/thumb/thumb_8082e0275a22-3977-4101-9409-64314aa1929b.png_300
발사믹 토마토 카프레제 샐러드(189g),28%,"3,500","4,900",https://www.oasis.co.kr:48581/product/35641/thumb/thumb_3564158cf0c91-e5a5-41de-b6e5-7157f60a8360.jpg_300
아삭한 파프리카 샐러드(80g),25%,"1,500","2,000",https://www.oasis.co.kr:48581/product/12035/thumb/thumb_12035e7b8f0f9-5af1-4fe3-a3be-dfa1024f2a93.jpg_300
플라워믹스 샐러드(80g),30%,"1,750","2,500",https://www.oasis.co.kr:48581/product/25384/thumb/thumb_2538445437206-5b5c-4813-87c5-5aea6d3449d8.jpg_300
유자바질 닭가슴살 샐러드(167g),32%,"3,300","4,900",https://www.oasis.co.kr:48581/product/35642/thumb/thumb_356429b1a51e9-3829-42ae-bf97-a80c0086b49a.jpg_300
[오늘의 특가] 4입 파프리카 빨강/노랑 각 2개씩 (1봉 4개입),27%,"3,480","4,800",https://www.oasis.co.kr:48581/product/9663/thumb/thumb_966387b25ada-38a0-4a64-ad23-a65f9d3b1efb.jpg_300
무농약 피크닉 어린잎 채소 (100g),20%,"2,800","3,500",https://www.oasis.co.kr:48581/product/1794/thumb/thumb_1794192c32b1-5e6d-4b1c-876a-bfc902097381.jpg_300
국내산 고수(100g),24%,"2,280","3,000",https://www.oasis.co.kr:48581/product/9901/thumb/thumb_9901429b1acb-6635-413b-ad14-7e94857740c4.jpg_300
무농약 양상추 (1팩),15%,"2,780","3,300",https://www.oasis.co.kr:48581/product/1267/thumb/thumb_1267a5961431-afa5-4ce5-ab0d-376c8850c4df.jpg_300
포기생채 / 무농약이상 (250g) ,25%,"2,470","3,300",https://www.oasis.co.kr:48581/product/7458/thumb/thumb_7458e2f19864-c3b9-4e75-b1e1-de98ebd2147c.gif_300
"그린믹스 샐러드 (70g,국내산)",20%,"1,340","1,680",https://www.oasis.co.kr:48581/product/3489/thumb/thumb_348925f87f22-f093-493a-b2ff-ed7ec6d0c876.jpg_300
베이비 채소 샐러드 (100g/무농약국내산),20%,"2,880","3,610",https://www.oasis.co.kr:48581/product/3068/thumb/thumb_3068b3bff6a1-216c-42cd-9503-ec7bae88c903.jpg_300
양배추와 적채믹스 샐러드 (100g),20%,"1,340","1,680",https://www.oasis.co.kr:48581/product/3067/thumb/thumb_30672a01c73a-9b05-4686-a77d-d729c3c717c4.jpg_300
"친환경 후레쉬가든 샐러드 (250g/무농약,국내산)",10%,"4,480","5,010",https://www.oasis.co.kr:48581/product/3433/thumb/thumb_3433495dd547-1765-4302-9d1f-8fdc616c8632.jpg_300
국내산 미니 파프리카(200g이상),48%,"2,980","5,800",https://www.oasis.co.kr:48581/product/3245/thumb/thumb_32451ffafd75-b28e-48df-bea9-64db0e181c60.jpg_300
국내산 대파(500g 내외)*벧엘,20%,"1,980","2,500",https://www.oasis.co.kr:48581/product/11437/thumb/thumb_114374126ed34-1a74-4f2c-b181-7e6b59f72c45.jpg_300
[20%쿠폰]국내산 샐러리(300g),27%,"2,400","3,300",https://www.oasis.co.kr:48581/product/7338/thumb/thumb_733882c34891-c667-4deb-943d-3c71a73a86aa.jpg_300
국내산 아스파라거스 (150g),36%,"3,500","5,500",https://www.oasis.co.kr:48581/product/7123/thumb/thumb_7123ec09c138-da0f-4b84-aa24-544356c0465c.jpg_300
오브 치킨샐러드(230g.346kcal),5%,"5,600","5,900",https://www.oasis.co.kr:48581/product/11906/thumb/thumb_1190694ef30d2-28f2-4077-852e-5202240d66b9.jpg_300
구운고구마와 수비드닭가슴살 샐러드(300g/370kcal),5%,"6,500","6,900",https://www.oasis.co.kr:48581/product/3709/thumb/thumb_370901959904-0f52-4084-a123-725cf78985f2.jpg_300
오브 새우샐러드(260g.235kcal),5%,"5,600","5,900",https://www.oasis.co.kr:48581/product/11907/thumb/thumb_11907ec8a7d15-371c-4a29-aef9-8772e4b19da1.jpg_300
포슬한 쿠스쿠스 쉬림프 샐러드 (185g/180kcal),8%,"5,400","5,900",https://www.oasis.co.kr:48581/product/3711/thumb/thumb_3711a397cb91-28f7-4a37-b550-4eb5871a1ea7.jpg_300
오브 연어샐러드(230g.356kcal),4%,"6,560","6,900",https://www.oasis.co.kr:48581/product/11908/thumb/thumb_11908543bc231-8a5f-4207-90bf-330521ec85b5.jpg_300
은은한 소이소스 닭가슴살 샐러드 (185g/155kcal),20%,"4,720","5,900",https://www.oasis.co.kr:48581/product/3712/thumb/thumb_37120c388200-6fab-4724-b87c-7c6396a9f242.jpg_300
오브 리코타샐러드(190g.355kcal),5%,"5,600","5,900",https://www.oasis.co.kr:48581/product/11911/thumb/thumb_119110dbd4014-8797-4a1a-b1f1-7928579dc4e5.jpg_300
완숙토마토 (2kg/팩),34%,"5,900","9,000",https://www.oasis.co.kr:48581/product/43481/thumb/thumb_43481ce3781e7-a878-4d8a-b144-b15c967eefbf.jpg_300
[20%쿠폰]국내산 취나물(100g),29%,"1,400","1,980",https://www.oasis.co.kr:48581/product/7333/thumb/thumb_7333a746df8f-50c5-44c4-8405-eb4f8ae7776f.jpg_300
[20%쿠폰]국내산 꽈리고추(100g),26%,"2,200","3,000",https://www.oasis.co.kr:48581/product/7345/thumb/thumb_7345a43458b2-cdf0-48db-9de7-34a30d5777a5.jpg_300
[20%쿠폰]국내산 파슬리(100g),54%,"1,500","3,300",https://www.oasis.co.kr:48581/product/7339/thumb/thumb_733957fa7e54-868d-456b-baa5-2a9fca632aa1.jpg_300
아삭 주황 대추방울토마토 (750g),55%,"5,600","12,500",https://www.oasis.co.kr:48581/product/1468/thumb/thumb_1468e806c366-dd6c-414a-9e69-b6b21b400342.jpg_300
미니오이 (300g),29%,"2,800","3,980",https://www.oasis.co.kr:48581/product/47408/thumb/thumb_47408a44866cb-4abc-4226-8321-22cc77848b49.jpg_300
컬러 대추방울토마토 (750g),61%,"5,800","15,000",https://www.oasis.co.kr:48581/product/5389/thumb/thumb_53898ea4c223-b35b-4f8c-ac9e-56cbf1748290.jpg_300
국내산 백오이 (2개),60%,"1,400","3,500",https://www.oasis.co.kr:48581/product/3231/thumb/thumb_3231e7957614-a2be-4095-9b0b-27d8aedbfc5e.jpg_300
무농약 어린잎 시금치(100g),30%,"2,800","4,000",https://www.oasis.co.kr:48581/product/45640/thumb/thumb_45640085ec487-aa56-450b-a6d4-e9d2d676ab8b.jpg_300
유기농 청청건무화과 (50g),14%,"5,900","6,900",https://www.oasis.co.kr:48581/product/8089/thumb/thumb_808902b2d997-fe4b-49d9-8b02-630c2cfcf27d.jpg_300
국내산 애호박(특1개),20%,"1,280","1,600",https://www.oasis.co.kr:48581/product/2362/thumb/thumb_236288299921-161d-4d34-8401-c26d43dd8183.gif_300
국내산 가지 (2개),40%,"1,780","3,000",https://www.oasis.co.kr:48581/product/1352/thumb/thumb_13523e3cd2a1-7a1e-40d8-8759-58d6657655bd.jpg_300
국내산 청피망(1봉 2개입),24%,"1,880","2,500",https://www.oasis.co.kr:48581/product/42875/thumb/thumb_4287514475083-c4d8-4d1f-82a9-0021a50670e2.jpg_300
"레드믹스 샐러드 (80g,국내산)",20%,"1,430","1,790",https://www.oasis.co.kr:48581/product/2072/thumb/thumb_2072eac62cc0-077d-4df3-bce7-1a2bcf0d8fdc.jpg_300
대파&양파 슬라이스(150g),44%,"1,550","2,800",https://www.oasis.co.kr:48581/product/7384/thumb/thumb_7384bb2b387a-5f41-4a62-9d08-a271d4688271.jpg_300
손질채소 세트 / 닭볶음탕용(300g),26%,"3,300","4,500",https://www.oasis.co.kr:48581/product/7385/thumb/thumb_738566ffaef0-8e55-4eb0-bb21-18c0d0e669ec.jpg_300
손질채소 세트 /  찌개용(200g),31%,"2,400","3,500",https://www.oasis.co.kr:48581/product/7378/thumb/thumb_737883aa0cfe-5457-46a5-940e-c989bf59e21a.jpg_300
"손질채소 세트 / 짜장,카레용(200g)",26%,"2,200","3,000",https://www.oasis.co.kr:48581/product/7382/thumb/thumb_7382e964a264-0dbd-4875-acfd-6617987a9d5d.jpg_300
[프로모션] 새우 파스타 샐러드 (185g/195kcal),25%,"4,420","5,900",https://www.oasis.co.kr:48581/product/29646/thumb/thumb_29646cc541ee0-2ea0-454c-9a61-c5f0bf4aa756.jpg_300
멕시칸 닭가슴살 샐러드 (185g/200kcal),20%,"4,720","5,900",https://www.oasis.co.kr:48581/product/29647/thumb/thumb_2964761f3e0fe-c467-4e2f-ac03-2dff011e308b.jpg_300
