상품명,할인율,할인가,원가,이미지
적채 / 무농약 이상 (1/2통),14%,"2,050","2,400",https://www.oasis.co.kr:48581/product/23243/thumb/thumb_23243a46c018f-ff77-4a95-b235-8252c99d77a5.jpg_300
무농약 깻잎*30장,33%,"1,200","1,800",https://www.oasis.co.kr:48581/product/47554/thumb/thumb_47554a7d2aa8f-cf28-4077-bf4d-75bd49c46216.jpg_300
국내산 샐러리(600g),30%,"3,500","5,000",https://www.oasis.co.kr:48581/product/34453/thumb/thumb_34453c555721a-717c-4fbc-a62c-87a22ee70523.jpg_300
국산 양배추(1/2통),7%,"2,500","2,700",https://www.oasis.co.kr:48581/product/34451/thumb/thumb_344513cfced0e-c37d-4a6f-833d-9e71645c8b3a.jpg_300
베이비믹스 샐러드(80g),32%,"1,680","2,500",https://www.oasis.co.kr:48581/product/25385/thumb/thumb_2538584067141-526b-40b4-8cba-c572c6e1c37f.jpg_300
[20%쿠폰]국내산 포기로메인(200g),21%,"2,350","2,980",https://www.oasis.co.kr:48581/product/36828/thumb/thumb_36828651fa830-1b2c-4fe4-9399-390040675781.jpg_300
[특가]국내산 손질 브로콜리(200g),37%,"2,800","4,500",https://www.oasis.co.kr:48581/product/12173/thumb/thumb_12173fed818e4-8ded-4702-a5fe-5eb7a3fcfd35.jpg_300
[20%쿠폰]국내산 브로콜리 (1입),40%,"1,980","3,300",https://www.oasis.co.kr:48581/product/6997/thumb/thumb_69975e169ed5-97ad-4391-a756-867351dd9249.jpg_300
콘페이토 샐러드(80g),30%,"1,750","2,500",https://www.oasis.co.kr:48581/product/25380/thumb/thumb_253808ad8ead7-10e4-4ddf-8b37-61e077190e96.jpg_300
[20%쿠폰]국내산 알배기배추 (1봉),23%,"2,980","3,900",https://www.oasis.co.kr:48581/product/7341/thumb/thumb_7341be16ebc0-2258-4ee8-85e9-c3d1bd3096a5.jpg_300
[특가]국내산 열무(700g 이상),50%,"2,400","4,800",https://www.oasis.co.kr:48581/product/7343/thumb/thumb_7343418b4f88-9041-4dff-8a5b-347a3aa69646.jpg_300
"[20%쿠폰]국내산 비트 (1입, 300g내외)",33%,"1,600","2,400",https://www.oasis.co.kr:48581/product/7337/thumb/thumb_7337a1efe0b8-205f-4948-85b9-2e2936202b6a.jpg_300
국내산 세척 연근(400g),30%,"4,800","6,880",https://www.oasis.co.kr:48581/product/7326/thumb/thumb_7326844869b7-5bc5-4b70-98ae-011b077c1ae4.jpg_300
[20%쿠폰]국내산 근대(100g),36%,950,"1,500",https://www.oasis.co.kr:48581/product/7327/thumb/thumb_732731c0bb15-adf7-440c-af30-5c02f343e65c.jpg_300
[20%쿠폰]국내산 아욱(100g),20%,"1,200","1,500",https://www.oasis.co.kr:48581/product/7331/thumb/thumb_7331ed4b8026-1a87-4eda-97d3-5acf6816fae5.jpg_300
[특가]국내산 얼갈이(700g이상),42%,"2,400","4,200",https://www.oasis.co.kr:48581/product/7342/thumb/thumb_7342fd5e5e6e-dfe7-4cd4-8962-3450dc11a761.jpg_300
[20%쿠폰]국내산 아삭이고추(100g),30%,"1,250","1,800",https://www.oasis.co.kr:48581/product/7344/thumb/thumb_734443426835-c225-46f3-9fb7-bb4be9a9ce82.jpg_300
무농약 다진 생강 (180g),20%,"6,320","7,900",https://www.oasis.co.kr:48581/product/3395/thumb/thumb_3395b41e23a7-c0c5-403f-8568-35bceed85996.jpg_300
 GAP 칵테일토마토(1Kg),25%,"5,600","7,500",https://www.oasis.co.kr:48581/product/48323/thumb/thumb_48323e930704e-217d-4990-9334-209a733c7524.jpg_300
[20%쿠폰]국내산 파프리카 1입 (빨강/노랑),51%,"1,200","2,480",https://www.oasis.co.kr:48581/product/24611/thumb/thumb_246115d318024-1ff5-495c-a387-e8896800749f.jpg_300
깐 양파 (1입/3입),30%,"1,250","1,800",https://www.oasis.co.kr:48581/product/7325/thumb/thumb_7325a4998ba2-fe85-471c-b83f-687acbe858d4.jpg_300
유러피안 조이 샐러드(50g),25%,"1,500","2,000",https://www.oasis.co.kr:48581/product/25383/thumb/thumb_25383d54ccdda-3a6f-407f-ad28-3e11d03452f5.jpg_300
치커리 / 무농약이상 (100g),31%,"1,230","1,800",https://www.oasis.co.kr:48581/product/7455/thumb/thumb_7455ba38fce5-e4f1-4cc0-9ff8-25d2bb3b66ef.jpg_300
아이스 유기농 무화과 (600g),20%,"11,900","15,000",https://www.oasis.co.kr:48581/product/3746/thumb/thumb_374675b1ffa9-0389-429d-b78b-f3a238b72225.jpg_300
[20%쿠폰]국내산 참나물(100g),49%,"1,000","1,980",https://www.oasis.co.kr:48581/product/7332/thumb/thumb_7332b573c861-6fad-4362-89d1-dc6309e79d44.jpg_300
[쿠폰]국내산 베이비 시금치(100g),19%,"2,900","3,600",https://www.oasis.co.kr:48581/product/37391/thumb/thumb_373918c029b0b-e22b-4dcb-961d-c660accf472d.jpg_300
국내산 고추냉이잎(50g),45%,"2,200","4,000",https://www.oasis.co.kr:48581/product/37327/thumb/thumb_37327356d2414-ceef-4686-812e-64e96def32a4.jpg_300
[쿠폰]국내산 이자벨(200g),30%,"3,800","5,500",https://www.oasis.co.kr:48581/product/37333/thumb/thumb_37333e808ae1d-1e1f-4690-944e-c2f97f133de4.jpg_300
풍기 수삼 (150g),34%,"9,900","15,000",https://www.oasis.co.kr:48581/product/25869/thumb/thumb_258691bf40090-d843-44fc-89d5-83c09348ff87.jpg_300
