인덱스,상품명,할인율,할인가,원가,이미지
21,국내산 카레 (순한맛 | 100g),20%,"3,040","3,800",https://www.oasis.co.kr:48581/product/1934/thumb/thumb_193450f902b3-39cd-49f5-895f-364445dd4ea4.jpg_300
22,국내산 카레 (매운맛 | 100g),20%,"3,040","3,800",https://www.oasis.co.kr:48581/product/1933/thumb/thumb_193330848c80-7301-48f5-8033-27b6843347b2.jpg_300
23,안동참마죽 (300g),20%,"4,800","6,000",https://www.oasis.co.kr:48581/product/3730/thumb/thumb_3730fcf955d1-0faf-443e-841b-f2f7190c0dc4.jpg_300
24,참마전복죽 (300g),20%,"4,800","6,000",https://www.oasis.co.kr:48581/product/3731/thumb/thumb_37315d161e1f-33c7-4649-a35a-0c9844cbdb01.jpg_300
25,한우소고기죽 (450g),30%,"2,940","4,200",https://www.oasis.co.kr:48581/product/1514/thumb/thumb_15148fe26677-9859-407a-a896-abe4fce2945b.jpg_300
26,베베쿡 처음먹는 크림소스 (100gx2개입),22%,"3,500","4,500",https://www.oasis.co.kr:48581/product/2999/thumb/thumb_2999db902c9f-6e75-427d-9339-2a54074f9315.jpg_300
27,대령숙수 육수의 비밀 4g x 30ea ,18%,"12,800","15,800",https://www.oasis.co.kr:48581/product/45635/thumb/thumb_456351a08c1cd-2a0a-4719-b2e6-d11f83c03db4.jpg_300
28,양송이 수프(200g),20%,"2,800","3,500",https://www.oasis.co.kr:48581/product/25366/thumb/thumb_2536620f9c3e0-2ff0-4d65-a06b-7b086d02ee0e.jpg_300
29,[특가]해담은 전복닭죽 450g,21%,"6,200","7,900",https://www.oasis.co.kr:48581/product/32720/thumb/thumb_32720fd15a9bc-8719-4a32-9a66-0296017b65a6.jpg_300
30,브로콜리 크림수프 (180g),20%,"2,800","3,500",https://www.oasis.co.kr:48581/product/3159/thumb/thumb_31597cae98fc-aa92-44de-a429-ff8b789d1d08.jpg_300
