인덱스,상품명,할인율,할인가,원가,이미지
0,영국풍 인도 커리 3종,20%,"6,500","8,200",https://www.oasis.co.kr:48581/product/42864/thumb/thumb_42864b7ffb3d7-3090-45fe-b94f-c6b0a7f1e33d.jpg_300
1,바다가득 전복죽 (450g/1봉),20%,"5,600","7,000",https://www.oasis.co.kr:48581/product/2354/thumb/thumb_23548551e992-23a2-47b9-824e-a8e0858c8ae3.jpg_300
2,손맛가득 팥죽 (450g/1봉),20%,"3,600","4,500",https://www.oasis.co.kr:48581/product/2469/thumb/thumb_2469290dcf77-e008-4079-a34a-a497fe41b579.jpg_300
3,토마토 크림수프 (180g),20%,"2,800","3,500",https://www.oasis.co.kr:48581/product/3160/thumb/thumb_316055bd0044-dc35-4168-bde4-5e757e68ed41.jpg_300
4,콘 수프(200g),20%,"2,800","3,500",https://www.oasis.co.kr:48581/product/25367/thumb/thumb_2536790d4ff3d-8622-47a4-a4fe-7a5bbfa688a9.jpg_300
5,정성가득 호박죽 (450g/1봉),20%,"3,200","4,000",https://www.oasis.co.kr:48581/product/2894/thumb/thumb_2894ff866b75-cb6e-4a51-a799-0e87d672557e.jpg_300
6,설성목장 닭가슴살 로제토마토소스 (100g),23%,"3,150","4,100",https://www.oasis.co.kr:48581/product/39964/thumb/thumb_39964c2056965-a21c-4260-97b9-8ea074093a18.jpg_300
7,[우리아이]베베쿡 처음먹는 짜장소스 (100gx2개입),22%,"3,500","4,500",https://www.oasis.co.kr:48581/product/3000/thumb/thumb_3000ebdeeca6-c323-4cff-a9a5-b21b9eff5735.jpg_300
8,라쿠치나 수프 6종,18%,"2,860","3,500",https://www.oasis.co.kr:48581/product/3866/thumb/thumb_3866163299a8-a35a-4590-8e81-c229267f8131.jpg_300
9,오샬커리 인도 난 2종,36%,"1,400","2,200",https://www.oasis.co.kr:48581/product/42863/thumb/thumb_42863daa5810d-d517-423d-a7f6-58470074f84d.jpg_300
10,수제카레(450g/2인분),30%,"4,200","6,000",https://www.oasis.co.kr:48581/product/5189/thumb/thumb_518987247cfc-8c65-4810-bc97-ee1e85a1880c.gif_300
11,황태바지락죽 (225g),20%,"5,520","6,900",https://www.oasis.co.kr:48581/product/3014/thumb/thumb_30140cea41a3-74d8-4892-9b18-bac743e00ea6.jpg_300
12,전복삼계죽 (225g),20%,"5,520","6,900",https://www.oasis.co.kr:48581/product/3013/thumb/thumb_30136fb40aed-de7c-4d49-bb53-f46574ba195a.jpg_300
13,베베쿡 처음먹는 카레소스 (100gx2개입),22%,"3,500","4,500",https://www.oasis.co.kr:48581/product/3001/thumb/thumb_30011e5271fb-7a04-41bf-8af6-8169594e261d.jpg_300
14,사랑가득 단팥죽 (450g/1봉),20%,"3,600","4,500",https://www.oasis.co.kr:48581/product/1353/thumb/thumb_135364bf6f22-bce6-4edc-aa23-03690d4803bb.jpg_300
15,건강가득 녹두죽 (450g/1봉),20%,"3,360","4,200",https://www.oasis.co.kr:48581/product/2722/thumb/thumb_2722ff85f31d-66ce-4700-9a8d-1bb8e23a10ea.jpg_300
16,새우죽 (300g/1봉),20%,"4,720","5,900",https://www.oasis.co.kr:48581/product/3471/thumb/thumb_3471230632ec-f29b-4920-aa42-471c9d79fae8.jpg_300
17,양송이버섯죽 (300g/1봉),20%,"2,720","3,400",https://www.oasis.co.kr:48581/product/3472/thumb/thumb_3472fd2e3220-e784-4864-b0a0-8487f1ce26f3.jpg_300
18,채담카레 (160g),30%,"1,960","2,800",https://www.oasis.co.kr:48581/product/2617/thumb/thumb_2617fe8c9cfc-dff3-4783-8080-064020b84b3b.jpg_300
19,영양가득 닭죽 (450g),20%,"3,360","4,200",https://www.oasis.co.kr:48581/product/1355/thumb/thumb_1355d5b25b5c-d08c-4bab-ba2f-376f5271d4da.jpg_300
20,국내산 호박죽 (280g),20%,"2,480","3,100",https://www.oasis.co.kr:48581/product/2157/thumb/thumb_21570b842736-3452-4383-a34e-291c7369a672.jpg_300
