인덱스,상품명,할인율,할인가,원가,이미지
0,[입점특가] 통곡물 그래놀라 (300g),33%,"7,200","10,800",https://www.oasis.co.kr:48581/product/47814/thumb/thumb_47814c2397706-e2f4-4de9-87cf-d2c7d0df05fc.jpg_300
1,와필레 리에주 와플 (55g~70g) ,0%,"3,800","3,800",https://www.oasis.co.kr:48581/product/43428/thumb/thumb_43428cc6d26c7-2ce9-49d8-a78b-89d6fa785d2d.jpg_300
2,[신제품]쾌변 요구르트 ABC (150ml×4입),0%,"5,480","5,480",https://www.oasis.co.kr:48581/product/28573/thumb/thumb_285734fbc99c0-04f7-438e-b99c-93aa6816c55f.jpg_300
3,[입점특가] 문어닮은소떡(500g),33%,"7,900","11,900",https://www.oasis.co.kr:48581/product/40236/thumb/thumb_4023691ee9b38-a745-4776-964a-eb353b16f76c.jpg_300
4,참좋은 유기농 목초 우유(200ml),19%,"1,680","2,080",https://www.oasis.co.kr:48581/product/41232/thumb/thumb_4123255f7d06b-12fd-416a-beed-2de6f1a6d091.jpg_300
5,[입점특가] 라쿠치나 간편 파스타 3종  (알리오올리오 | 바질페스토 | 올리브토마토),16%,"5,000","6,000",https://www.oasis.co.kr:48581/product/44318/thumb/thumb_44318fc976bf5-4fe2-430c-b28d-6000a8d18ee4.jpg_300
6,[유기농] 밀키요 플레인 그릭요거트(130g),8%,"5,500","6,000",https://www.oasis.co.kr:48581/product/38280/thumb/thumb_38280e6db1874-8749-4a64-abeb-1e7fdd9db6be.jpg_300
7,베지바이츠 브로콜리 플로렛(350g),7%,"6,000","6,480",https://www.oasis.co.kr:48581/product/39012/thumb/thumb_39012c8026032-4406-41cb-b87c-a2241370671e.jpg_300
8,[할인] 파나요거트 3종(각 100g),12%,"3,400","3,900",https://www.oasis.co.kr:48581/product/41250/thumb/thumb_41250d37818be-831e-47d3-8085-e34e6c652e4c.jpg_300
9,참좋은 유기농 목초 그릭요거트 2종(각 100g),4%,"4,200","4,400",https://www.oasis.co.kr:48581/product/41246/thumb/thumb_412466203e062-9071-43ab-9cd7-bd372b804fb8.jpg_300
10,참좋은 유기농 목초 요거트(200ml),16%,"2,680","3,200",https://www.oasis.co.kr:48581/product/41227/thumb/thumb_41227ad34f438-d481-4cb6-9d82-a257c5dbfb34.jpg_300
11,우리밀 와플 (75gx5입),22%,"8,300","10,700",https://www.oasis.co.kr:48581/product/11720/thumb/thumb_11720847fd4d0-fe34-46ee-b66c-2301420878b2.jpg_300
12,베지바이츠 브로콜리 감자튀김(400g),7%,"6,000","6,480",https://www.oasis.co.kr:48581/product/39059/thumb/thumb_390599d8fc8d8-e14e-46e2-8c47-87f41daeba54.jpg_300
13,"유기농 블루베리 (500g,냉동)",10%,"9,810","10,900",https://www.oasis.co.kr:48581/product/2016/thumb/thumb_20160a9bb9b0-609f-4875-83bc-2e423f6a91c4.jpg_300
14,좋은발효 플레인 요구르트 (500ml),25%,"3,300","4,400",https://www.oasis.co.kr:48581/product/2303/thumb/thumb_230349d96ff5-411a-4aaa-9561-89751ea017c1.jpg_300
15,국내산 찹쌀떡 (270g | 냉동),10%,"4,680","5,200",https://www.oasis.co.kr:48581/product/2846/thumb/thumb_2846584cd7c7-5a9b-4b8a-bebd-dbf2fc657be0.jpg_300
16,유기농 딸기그레이프(100ml x 4포),20%,"5,440","6,800",https://www.oasis.co.kr:48581/product/3648/thumb/thumb_364866d22ca7-a287-4a70-926f-f1999b5b5e1d.jpg_300
17,무항생제 닭고기 순살찜닭(600g),25%,"8,900","12,000",https://www.oasis.co.kr:48581/product/14206/thumb/thumb_142062435b948-ecff-4128-82cf-5bef3f6980d6.jpg_300
18,라이스 크로아상 생지 (70g x 4개),25%,"8,900","12,000",https://www.oasis.co.kr:48581/product/21257/thumb/thumb_212574693c84b-7b13-4317-8fac-40c8f817127c.jpg_300
19,냉동 라즈베리(500g),30%,"8,750","12,500",https://www.oasis.co.kr:48581/product/27574/thumb/thumb_27574e7bc7601-fcd0-4b10-bc64-79d16bab690d.jpg_300
20,냉동 블루베리(500g),17%,"7,300","8,900",https://www.oasis.co.kr:48581/product/27580/thumb/thumb_2758093138e64-0941-4483-9337-8cf9621d9a15.jpg_300
21,냉동 체리(500g),27%,"8,300","11,500",https://www.oasis.co.kr:48581/product/27582/thumb/thumb_275820c5f8284-7b60-4eb8-a88f-0dfe8fbf53a7.jpg_300
22,우리밀 치즈폭탄 시카고피자(420g),19%,"7,900","9,800",https://www.oasis.co.kr:48581/product/27776/thumb/thumb_27776c779f91d-550c-4e55-9da9-1d6151914745.gif_300
23,먹태구이(80g이상/3미),27%,"6,500","9,000",https://www.oasis.co.kr:48581/product/34185/thumb/thumb_341853c72aded-0a73-4231-a4e9-dc221d67a225.jpg_300
24,유자바질 닭가슴살 샐러드(167g),32%,"3,300","4,900",https://www.oasis.co.kr:48581/product/35642/thumb/thumb_356429b1a51e9-3829-42ae-bf97-a80c0086b49a.jpg_300
25,아침미소목장 한라봉 요구르트(500ml),30%,"5,040","7,200",https://www.oasis.co.kr:48581/product/36911/thumb/thumb_36911ee4f9425-f397-417c-9727-317a5acd791b.jpg_300
26,설성목장 닭가슴살 로제토마토소스 (100g),23%,"3,150","4,100",https://www.oasis.co.kr:48581/product/39964/thumb/thumb_39964c2056965-a21c-4260-97b9-8ea074093a18.jpg_300
27,동물복지 크림소스 치킨미트볼(210g),30%,"4,900","7,000",https://www.oasis.co.kr:48581/product/40713/thumb/thumb_40713ebc8e2b2-0126-45da-955b-bacb24942c57.jpg_300
28,로아커 가데나 미니스 믹스 (18입/50입),10%,"4,500","5,000",https://www.oasis.co.kr:48581/product/43548/thumb/thumb_4354824228ac0-bef8-42f5-823e-70905d1de2dc.jpg_300
29,코우카키스 그릭요거트 (150g),0%,"4,500","4,500",https://www.oasis.co.kr:48581/product/38442/thumb/thumb_38442c1c66abd-cbd4-44fa-8130-ee4b72070a27.jpg_300
30,아이스 유기농 무화과 (600g),20%,"11,900","15,000",https://www.oasis.co.kr:48581/product/3746/thumb/thumb_374675b1ffa9-0389-429d-b78b-f3a238b72225.jpg_300
31,[유기농] 밀키요 시그니처 그릭요거트(450g),4%,"13,900","14,500",https://www.oasis.co.kr:48581/product/38279/thumb/thumb_38279c45e7047-d5bb-463c-aafa-d12660af43e3.jpg_300
32,밀키요 포도 그릭요거트(130g),8%,"5,500","6,000",https://www.oasis.co.kr:48581/product/38291/thumb/thumb_38291f2e4b880-a69e-4b31-b8b3-b2cecbc50c1c.jpg_300
33,밀키요 딸기 그릭요거트(130g),8%,"5,500","6,000",https://www.oasis.co.kr:48581/product/38296/thumb/thumb_38296ba13bd8f-d18f-4c2f-9b27-639147735336.jpg_300
34,밀키요 바나나 그릭요거트(130g),8%,"5,500","6,000",https://www.oasis.co.kr:48581/product/38300/thumb/thumb_383004026e401-ce83-4896-9dad-e28cfdd70306.jpg_300
35,우리통밀 치즈 핫도그(80g x 5개입),20%,"7,760","9,700",https://www.oasis.co.kr:48581/product/25473/thumb/thumb_25473e70798b5-46ef-4168-97b8-9a8479f7b405.jpg_300
36,처음먹는 요리가케 연어와 치즈 (28g),25%,"4,100","5,500",https://www.oasis.co.kr:48581/product/3024/thumb/thumb_302429aac93b-fa70-4b57-96e4-efa156de4ae9.jpg_300
37,코우카키스 그릭요거트 (500g),0%,"12,900","12,900",https://www.oasis.co.kr:48581/product/38443/thumb/thumb_384435127c37c-7674-46b0-b5ec-76e0dd343a5a.jpg_300
38,코우카키스 무지방 그릭요거트 (150g),0%,"4,500","4,500",https://www.oasis.co.kr:48581/product/38446/thumb/thumb_3844636b2b634-af78-485b-9c47-d23b13949394.jpg_300
39,코우카키스 무지방 그릭요거트 (500g),0%,"12,900","12,900",https://www.oasis.co.kr:48581/product/38447/thumb/thumb_384475df0418c-e05c-42f7-9955-8a951451b595.jpg_300
40,[4개 1세트] 땅끝 해남 고구마 말랭이(60g x 4봉),27%,"7,590","10,400",https://www.oasis.co.kr:48581/product/43144/thumb/thumb_431448605dc51-9857-4d79-857d-cc7b332e3446.jpg_300
41,빵어니스타 노오일 파운드 4종(각 140g),8%,"5,060","5,500",https://www.oasis.co.kr:48581/product/43198/thumb/thumb_43198ef67855d-9ae7-426e-a732-a45d54792b8f.jpg_300
42,우리쌀 조랭이떡 (300g),20%,"2,880","3,600",https://www.oasis.co.kr:48581/product/8778/thumb/thumb_8778b542dcb6-73b7-4766-ae20-024792fb4d04.jpg_300
43,"후디스 그릭요거트 2종(달지않은저지방/플레인, 각 450g)",0%,"6,200","6,200",https://www.oasis.co.kr:48581/product/47565/thumb/thumb_4756504c8d6a5-38c6-45d0-b35c-fe906190a903.jpg_300
44,"유기농 애플망고 (500g,냉동)",20%,"8,800","11,000",https://www.oasis.co.kr:48581/product/2020/thumb/thumb_2020a41c1f8d-e34b-4064-bda4-e3a2255647cd.jpg_300
45,빵어니스타 타르트 4종(각 90g),7%,"5,800","6,300",https://www.oasis.co.kr:48581/product/43208/thumb/thumb_4320867ac03bd-d114-4701-821b-9937c357ae7b.jpg_300
46,베지바이츠 콜리플라워 튀김(350g),7%,"6,000","6,480",https://www.oasis.co.kr:48581/product/39008/thumb/thumb_39008999d8d11-bb46-4fbc-a44c-04817aa90724.jpg_300
47,잇딸리아 고르곤 수제화덕피자(300g),24%,"8,200","10,900",https://www.oasis.co.kr:48581/product/36690/thumb/thumb_366904c0d0a3d-3643-4b54-bb5a-ffbd9eb71a21.jpg_300
48,국내산 간편 떡볶이 (530g),9%,"6,940","7,700",https://www.oasis.co.kr:48581/product/3577/thumb/thumb_3577b87b6a09-9447-47c3-a84c-7ebf68a0af25.jpg_300
49,잇딸리아 마르게리타 수제화덕피자(320g),24%,"8,200","10,900",https://www.oasis.co.kr:48581/product/36687/thumb/thumb_3668774de6663-61ac-474e-98b7-be5f4da7f83a.jpg_300
50,잇딸리아 콰트로포르마지 수제화덕피자(330g),24%,"8,200","10,900",https://www.oasis.co.kr:48581/product/36689/thumb/thumb_36689c8eaa573-a9a6-4e51-b585-3d5f3e541afd.jpg_300
