인덱스,상품명,할인율,할인가,원가,이미지
51,MSC인증 붉은대게살 크래미(142g),25%,"2,600","3,500",https://www.oasis.co.kr:48581/product/43320/thumb/thumb_43320cf2890c1-3c9f-4538-a8fa-1642b83d6ebd.jpg_300
52,유기농 요구르트 이오 (80mlx5),24%,"1,900","2,500",https://www.oasis.co.kr:48581/product/3297/thumb/thumb_32970fd8a15e-34b7-4ac1-a439-ba4d6ba8a53c.jpg_300
53,"시골 쌀떡국떡 (500g, 냉장)",23%,"3,440","4,500",https://www.oasis.co.kr:48581/product/2337/thumb/thumb_23371075e338-235b-483b-aa08-c55bba62c144.jpg_300
54,"유기농 그릭요거트 2종(달지않은플레인/플레인, 각 80g×4)",0%,"6,500","6,500",https://www.oasis.co.kr:48581/product/33435/thumb/thumb_33435daa0b61a-d543-4ef6-b219-d3c3772eaaeb.jpg_300
55,유기농 엘더베리주스(100ml x 4포),20%,"5,440","6,800",https://www.oasis.co.kr:48581/product/3686/thumb/thumb_3686b0bf3560-363c-4dda-99d5-bacc1cc1808d.jpg_300
56,[1+1] 검은콩 참깨 미숫가루(500g+500g),22%,"10,100","13,000",https://www.oasis.co.kr:48581/product/6895/thumb/thumb_6895e1b26f68-e8fa-459f-8396-cff2dec69018.jpg_300
57,우리밀 우리쌀 찐빵 (10입/500g),21%,"5,200","6,600",https://www.oasis.co.kr:48581/product/1993/thumb/thumb_199393556abd-ce45-47f1-917f-1022a9585110.jpg_300
58,우리밀로 만든 마늘빵 과자(70g),12%,"2,640","3,000",https://www.oasis.co.kr:48581/product/28406/thumb/thumb_28406560c93f4-f81f-4e55-a73e-c217747a9f94.jpg_300
59,설성목장 한돈 촉촉 물만두 (400g),30%,"4,340","6,200",https://www.oasis.co.kr:48581/product/41241/thumb/thumb_41241880ed9d1-7b59-4e4d-8232-9b80c423d2bb.jpg_300
60,덴마크목장 유기농 1단계 짜지않은 아기치즈 6~24개월 (17gx10입),33%,"3,500","5,300",https://www.oasis.co.kr:48581/product/12181/thumb/thumb_121817e38101d-4756-4c20-919f-200eb1abdec4.jpg_300
61,덴마크목장 유기농 2단계 짜지않은 아기치즈 25~48개월 (17gx10입),33%,"3,500","5,300",https://www.oasis.co.kr:48581/product/12185/thumb/thumb_1218509ca47e9-45e6-456d-921b-53f64b1d9bb3.jpg_300
62,유기농 스퀴즈오렌지 (100mlx4포),20%,"4,800","6,000",https://www.oasis.co.kr:48581/product/2448/thumb/thumb_2448e7a7a198-148e-4313-b05c-a6c150ed791f.jpg_300
63,촉촉 고구마스틱 번들팩 (20g*10개),54%,"8,400","18,600",https://www.oasis.co.kr:48581/product/4146/thumb/thumb_4146dd57b57b-cb33-4d4f-9d16-20a6d08b4656.jpg_300
64,설향 딸기 수제쨈 (380g),25%,"6,620","8,900",https://www.oasis.co.kr:48581/product/6941/thumb/thumb_69419d3c6fdd-fdf4-4954-a668-282f816d473f.jpg_300
65,유기농 과일야채 (100mlx4포),20%,"4,800","6,000",https://www.oasis.co.kr:48581/product/2449/thumb/thumb_2449bd154c5b-47e0-4e04-838c-41a3c8cb70fc.jpg_300
66,우리밀 고구마 찐빵 (10입/500g),21%,"5,200","6,600",https://www.oasis.co.kr:48581/product/2371/thumb/thumb_2371296daa7f-d326-4d9f-af9f-31c8df1c60c0.jpg_300
67,우리밀 흑미 찐빵 (10입/500g),10%,"5,900","6,600",https://www.oasis.co.kr:48581/product/1994/thumb/thumb_19947a3b9163-f0cc-4654-87f2-6f19b2f5dc38.jpg_300
68,"무항생제 한우 어린이 육포 (25g, 스틱 4~5개)",16%,"5,730","6,900",https://www.oasis.co.kr:48581/product/4068/thumb/thumb_406837463a59-722a-46ba-a88b-6e32ea4f2f66.jpg_300
69,"무항생제 한돈 어린이 육포 (25g, 스틱 4~5개)",17%,"4,050","4,900",https://www.oasis.co.kr:48581/product/4069/thumb/thumb_40695d6883d4-b093-41cf-aa3c-ece6cf0dbd93.jpg_300
70,하늘향기 통유자즙 (500ml),15%,"8,670","10,200",https://www.oasis.co.kr:48581/product/1345/thumb/thumb_134564b2e4ea-73a9-4690-8e5c-4bbe1d4699fe.jpg_300
71,우리밀 단호박 찐빵 (10입/500g),21%,"5,200","6,600",https://www.oasis.co.kr:48581/product/2370/thumb/thumb_237015b2a80d-df67-4221-8a1e-601643fe7fb0.jpg_300
72,국내산 현미 꿀떡 (240g |  냉동),9%,"3,180","3,500",https://www.oasis.co.kr:48581/product/2687/thumb/thumb_26870b516812-c941-454f-b8d6-22421b36d1e5.jpg_300
73,아람드리 자두주스 (138ml),30%,700,"1,000",https://www.oasis.co.kr:48581/product/31601/thumb/thumb_316013dbf2676-6607-4a0d-a64a-094bc3cafb69.jpg_300
74,우리통밀 소시지 핫도그(80g x 5개입),20%,"7,200","9,000",https://www.oasis.co.kr:48581/product/25447/thumb/thumb_25447edaa3084-8e2e-4d82-935d-a53d2a588b04.jpg_300
75,감자치즈볼 (500g | 냉동),14%,"9,100","10,700",https://www.oasis.co.kr:48581/product/6896/thumb/thumb_6896f11b3d99-3652-4411-9555-a8160da6ea6e.jpg_300
76,아이스 군고구마(500g),30%,"6,650","9,500",https://www.oasis.co.kr:48581/product/26031/thumb/thumb_26031cdac018a-a77d-4ffe-82fa-8bc5c3be4346.jpg_300
77,더 바삭한 김말이튀김(300g),20%,"3,800","4,800",https://www.oasis.co.kr:48581/product/20593/thumb/thumb_2059364ee3c10-c004-4d3b-a0bf-d13731b02a2a.gif_300
78,아이스 꿀맛 군고구마(80g),20%,"1,660","2,100",https://www.oasis.co.kr:48581/product/26026/thumb/thumb_260264263588e-e22b-4501-a989-727242c374d8.jpg_300
79,우리통밀 통치즈 핫도그(80g x 5개입),20%,"8,400","10,500",https://www.oasis.co.kr:48581/product/25491/thumb/thumb_254919d4f7bb9-fefa-49d9-9182-896b8eb20fab.jpg_300
80,달콤 미니 군고구마 (150g),20%,"2,400","3,000",https://www.oasis.co.kr:48581/product/3565/thumb/thumb_35650367b181-c3b8-4226-8a7b-5224a0b64b5e.jpg_300
81,무항생제 통통등심 고구마 돈까스(135g×3입),19%,"7,900","9,800",https://www.oasis.co.kr:48581/product/36508/thumb/thumb_3650875db0f53-5ef8-40f0-ae66-40baf2a0c1a6.jpg_300
82,무항생제 통통등심 치즈 돈까스(135g×3입),19%,"7,900","9,800",https://www.oasis.co.kr:48581/product/37677/thumb/thumb_37677765f9b06-744c-40d4-a22a-ea2e7da37912.jpg_300
83,상하 유기농 첫치즈 1단계  / 튼튼설계,33%,"3,600","5,400",https://www.oasis.co.kr:48581/product/553/thumb/thumb_553573cf7ba-32e9-46e1-b975-7a13324dbddc.jpg_300
84,(대용량)우리밀 국산팥 미니붕어빵 500g(50g * 10개입),22%,"5,750","7,400",https://www.oasis.co.kr:48581/product/5991/thumb/thumb_5991a3bafbeb-8a58-45ad-bd89-d0a4c86af377.jpg_300
85,덴마크목장 구워먹는 치즈(125g),24%,"5,250","6,980",https://www.oasis.co.kr:48581/product/24309/thumb/thumb_24309aca7b0ba-e059-4c64-8184-eecf4c461707.jpg_300
86,냉동 두리안 (450g),27%,"16,700","23,000",https://www.oasis.co.kr:48581/product/27568/thumb/thumb_2756863eef5c2-331b-4bf2-b31f-ed0deb952adc.jpg_300
87,우리밀 크리스피 치킨너겟(300g),27%,"4,000","5,500",https://www.oasis.co.kr:48581/product/32327/thumb/thumb_32327a208704f-6b59-4395-b8b2-2c4f3e7caf42.jpg_300
88,우리밀 통살 가라아게(300g),20%,"4,800","6,000",https://www.oasis.co.kr:48581/product/32332/thumb/thumb_323322e46b9ae-3972-4051-a0dd-db34ff138b80.jpg_300
89,우리밀 귀리 비빔면(138g),30%,"1,600","2,300",https://www.oasis.co.kr:48581/product/32629/thumb/thumb_326294b7e3cd7-51eb-4e9a-84a9-72426e26c8eb.jpg_300
90,[특가]무농약 감자로 만든 옹심이(150g),31%,"2,400","3,500",https://www.oasis.co.kr:48581/product/33361/thumb/thumb_3336166dfb621-ecc5-4f01-b88e-4c7932433a86.jpg_300
91,[휴게소 간식]구운감자(185g),31%,"2,200","3,200",https://www.oasis.co.kr:48581/product/35146/thumb/thumb_35146f2d279ab-2e88-4e2d-b920-950b1ad1c035.jpg_300
92,"트리플베리 (1.3kg,냉동)",18%,"12,900","15,800",https://www.oasis.co.kr:48581/product/35864/thumb/thumb_35864fd6716b5-2142-46ef-8445-53a7eef24ab8.jpg_300
93,국내산 닭다리 통살 유린기(470g),20%,"8,720","10,900",https://www.oasis.co.kr:48581/product/36218/thumb/thumb_36218adb40fdc-b7aa-492d-80c2-341e84bfde4a.jpg_300
94,한우한돈 우리밀 치즈폭탄 불고기피자(470g),30%,"8,700","12,500",https://www.oasis.co.kr:48581/product/36868/thumb/thumb_36868e9e27c62-b60f-4a8f-bd92-2f164ed7529c.jpg_300
95,덴마크목장 유기농 배&도라지 주스 (120mlx4입),50%,"1,990","3,980",https://www.oasis.co.kr:48581/product/38452/thumb/thumb_38452a6c1be86-527d-4d2e-a6ba-adb88f1239ca.jpg_300
96,동물복지 토마토소스 치킨미트볼(210g),30%,"4,900","7,000",https://www.oasis.co.kr:48581/product/40646/thumb/thumb_40646d653e8c7-1950-47bc-a8fc-883147a63095.jpg_300
97,펭귄 수제화덕피자 고르곤졸라(315g),7%,"11,000","11,900",https://www.oasis.co.kr:48581/product/40840/thumb/thumb_4084004d05ccb-bb0e-412b-884e-d085eedc9061.jpg_300
98,펭귄 수제화덕피자 마르게리따(300g),11%,"10,500","11,900",https://www.oasis.co.kr:48581/product/40841/thumb/thumb_40841f473e177-d4c5-4683-853b-1f50f22133a2.jpg_300
99,펭귄 수제화덕피자 마농(마늘) 세떼치즈(373g),22%,"11,500","14,900",https://www.oasis.co.kr:48581/product/40843/thumb/thumb_408430d3690d4-c5e0-425e-a45d-12a4a8d41fdf.jpg_300
100,수제 불로군밤(60g),26%,"2,200","2,990",https://www.oasis.co.kr:48581/product/41052/thumb/thumb_4105213c2f7ad-29a3-4376-98c9-4cf61f2eeda8.jpg_300
101,로아커 웨하스 3종 (바닐라/나폴리타너/다크초콜릿),13%,"3,300","3,800",https://www.oasis.co.kr:48581/product/43542/thumb/thumb_43542a405abb4-30cd-4638-89bd-78fc4c89e349.jpg_300
102,[5개 1세트] 달콤 미니 군고구마 (150g*5봉),22%,"11,700","15,000",https://www.oasis.co.kr:48581/product/3520/thumb/thumb_352077102190-54c6-4279-a640-fe57be8b636d.jpg_300
103,"제대로 만든 전통부각 30g/1봉 (다시마,김,황태)",35%,"1,820","2,800",https://www.oasis.co.kr:48581/product/4268/thumb/thumb_42681c02d8f5-a2f7-4384-a2dd-8e3b6d5941d5.jpg_300
104,황금빛 구운 유정란 10구,20%,"5,200","6,500",https://www.oasis.co.kr:48581/product/2342/thumb/thumb_2342390dc7fe-4c62-43bd-97bb-0c662fde8ed5.jpg_300
105,바밤 찐 단호박(500g),10%,"7,200","8,000",https://www.oasis.co.kr:48581/product/45129/thumb/thumb_451290e471890-84e8-4e5a-823c-aa661286d9f3.jpg_300
106,무농약 타먹는 블루베리 (20ml×10개입),23%,"6,900","9,000",https://www.oasis.co.kr:48581/product/3831/thumb/thumb_38316433cc2e-f3d4-4b34-8ebf-6f37635ba71c.jpg_300
107,IT'S 레몬에이드 (700ml),8%,"6,800","7,400",https://www.oasis.co.kr:48581/product/1419/thumb/thumb_1419d1d84344-1ccb-4d83-b50c-89811a042870.jpg_300
108,아임리얼 오렌지 (700ml),4%,"8,500","8,900",https://www.oasis.co.kr:48581/product/1418/thumb/thumb_1418b4e3327d-5207-4ea7-897c-2ad149ddf93a.jpg_300
109,아임리얼 오렌지 (190ml),12%,"2,800","3,200",https://www.oasis.co.kr:48581/product/2990/thumb/thumb_29904d2b5fb1-12ff-4b4a-b9b6-bce1042e1da1.jpg_300
110,아임리얼 스트로베리 (190ml),9%,"2,900","3,200",https://www.oasis.co.kr:48581/product/2980/thumb/thumb_298003c4b952-6a29-456b-96c3-938ed2cb02d5.jpg_300
111,대구 꿀떡240g(16g x 15알),20%,"3,200","4,000",https://www.oasis.co.kr:48581/product/3665/thumb/thumb_36658ed38662-30d2-4a49-88bb-d174f0e445dc.jpg_300
112,국내산 카레 (매운맛 | 100g),20%,"3,040","3,800",https://www.oasis.co.kr:48581/product/1933/thumb/thumb_193330848c80-7301-48f5-8033-27b6843347b2.jpg_300
113,아임리얼 스트로베리 (700ml),6%,"8,900","9,500",https://www.oasis.co.kr:48581/product/1420/thumb/thumb_14202cb31549-e71a-4a99-8f77-181456ce2488.jpg_300
114,상하 유기농 아기치즈 2단계 / 영양균형,33%,"3,600","5,400",https://www.oasis.co.kr:48581/product/1449/thumb/thumb_144969f17b37-be56-40bf-b67f-24e799b61599.jpg_300
115,"상하 유기농 어린이치즈 3단계 / 두뇌,성장",33%,"3,600","5,400",https://www.oasis.co.kr:48581/product/552/thumb/thumb_5524cef73cd-3c4d-4bdc-a861-bfe62503e161.jpg_300
116,군고구마 말랭이 50g 3번들,20%,"6,800","8,500",https://www.oasis.co.kr:48581/product/2810/thumb/thumb_28109c84e11d-0c2f-4f13-bd01-a90dfa58ec1f.jpg_300
117,닭 다리살 꼬치(450g),20%,"13,800","17,300",https://www.oasis.co.kr:48581/product/37522/thumb/thumb_3752289ee22e9-914c-41a8-ab0e-f4a7205b8fe1.jpg_300
118,근위(닭똥집) 꼬치(450g),23%,"7,300","9,500",https://www.oasis.co.kr:48581/product/37524/thumb/thumb_37524049f54c6-3a94-4173-a4c1-b8381f63a878.jpg_300
119,닭 염통 꼬치(330g),21%,"7,800","9,900",https://www.oasis.co.kr:48581/product/37536/thumb/thumb_37536ba2811ba-a77d-45b5-be25-fd0905609996.jpg_300
120,파닭 꼬치(450g),20%,"12,500","15,700",https://www.oasis.co.kr:48581/product/37543/thumb/thumb_37543446185ee-e36c-4cca-8625-8a3597b3afa2.jpg_300
121,아람드리 포도주스 (138ml),30%,700,"1,000",https://www.oasis.co.kr:48581/product/3611/thumb/thumb_3611d1094c87-a3d7-450a-bb9f-b1c935d1caff.jpg_300
122,무항생제 한돈등심 찹쌀 탕수육(500g),21%,"6,900","8,800",https://www.oasis.co.kr:48581/product/11735/thumb/thumb_11735d1e8128a-3191-4208-a5ab-8ca9694a60ac.jpg_300
123,무항생제 통등심 옛날 돈까스(135g×5입),24%,"9,500","12,500",https://www.oasis.co.kr:48581/product/11998/thumb/thumb_11998a85e2f79-2c11-45d0-b813-32e9586ddedf.jpg_300
124,볼로네제 새송이 파스타(350g),20%,"4,900","6,200",https://www.oasis.co.kr:48581/product/33083/thumb/thumb_330835f582fb1-4d11-4110-94cb-f2c1c438a5b2.jpg_300
125,크림치즈 베이컨 파스타(360g),21%,"5,150","6,600",https://www.oasis.co.kr:48581/product/33087/thumb/thumb_33087415148d4-b2b8-42d0-811a-5bb63b4891a3.jpg_300
126,로제 쉬림프 파스타(360g),20%,"4,900","6,200",https://www.oasis.co.kr:48581/product/33094/thumb/thumb_330942494ae7e-2f42-4f50-b285-cdc6efe60322.jpg_300
127,아침에 현미국수(500g),11%,"5,300","6,000",https://www.oasis.co.kr:48581/product/36428/thumb/thumb_36428eebcd430-c14a-43a9-9e0e-0ff9e91a2f39.jpg_300
128,국산 꽃징어 수제튀김(230g),18%,"8,000","9,800",https://www.oasis.co.kr:48581/product/37674/thumb/thumb_376740e2f73ed-ac39-4cad-918d-9ebf9f610a4b.jpg_300
129,빵어니스타 비스코티 3종(각 120g),5%,"7,400","7,800",https://www.oasis.co.kr:48581/product/43204/thumb/thumb_43204bfd6ba07-b61a-4e7e-b0d9-11dfe747326a.jpg_300
130,한입팝콘치킨 (280g),36%,"3,300","5,200",https://www.oasis.co.kr:48581/product/47732/thumb/thumb_47732e3bf4131-91b9-4519-8ae2-05a969b1ae00.jpg_300
131,[대용량] 우리밀 미니 슈크림붕어빵 500g(50g * 10개입),24%,"5,470","7,200",https://www.oasis.co.kr:48581/product/8390/thumb/thumb_8390ed9e270a-02ae-4861-ad96-5b021ae3efb9.gif_300
132,수제 우유 꿀설기떡(90g*5입),15%,"5,950","7,000",https://www.oasis.co.kr:48581/product/7935/thumb/thumb_793575a5fefd-8d82-4349-89c5-aedbde347077.jpg_300
133,산들촌 착한 양파 (75g),12%,"2,100","2,400",https://www.oasis.co.kr:48581/product/1364/thumb/thumb_1364cfd643f0-8c24-4d17-86c5-350df06e4e3b.jpg_300
134,[MD추천]브라질너트 바삭대추 25g,15%,"2,700","3,200",https://www.oasis.co.kr:48581/product/9229/thumb/thumb_922936fb125a-aceb-44bc-a3b3-14291ab711ae.jpg_300
135,아람드리 복숭아주스  (138ml),30%,700,"1,000",https://www.oasis.co.kr:48581/product/1372/thumb/thumb_13724e0e0f0b-7caf-4a26-ba8e-5ab06f0840eb.jpg_300
136,오늘야채주스(100ml ±5ml x 21포),56%,"17,000","39,000",https://www.oasis.co.kr:48581/product/6962/thumb/thumb_696256498e50-25d6-40dc-bc53-e37546635acf.jpg_300
137,유기농 7분도쌀 식혜 (238ml),36%,700,"1,100",https://www.oasis.co.kr:48581/product/1920/thumb/thumb_192069840dc0-788d-4794-a60c-e8a04ec5ed3f.jpg_300
138,"참 맛있는 국물떡볶이(410g, 2인분)",28%,"4,900","6,900",https://www.oasis.co.kr:48581/product/5734/thumb/thumb_57347d7b10ae-bb71-42be-ac07-475c6716cd4e.gif_300
139,[이유케어스] 무럭무럭 과일퓨레 사과랑 배 1박스(7개입),13%,"18,900","21,900",https://www.oasis.co.kr:48581/product/34544/thumb/thumb_34544ab2ca437-f637-4c56-bd77-219373eb2986.jpg_300
