인덱스,상품명,할인율,할인가,원가
86,[창화당]이북식손왕만두(500g),20%,"7,100","8,900"
87,[창화당]쫄비빔만두(645g),14%,"8,500","9,900"
88,[창화루]마라탕면(860g),11%,"7,900","8,900"
89,[창화루]마라떡볶이(450g),12%,"6,900","7,900"
90,[창화루]새우쇼마이(300g),8%,"12,300","13,500"
91,[창화당]납작고기왕군만두(500g),12%,"6,950","7,950"
92,[창화당]납작김치왕군만두(500g),12%,"6,950","7,950"
93,[창화당]떡볶이(520g),10%,"5,300","5,900"
94,"[샘밭] 비빔막국수(2인분,334g)",22%,"6,100","7,900"
95,정직한 사과즙 (120mlx30),43%,"18,000","32,000"
96,손맛가득 팥죽 (450g/1봉),20%,"3,600","4,500"
97,설성목장 한우 육개장 (500g),20%,"9,600","12,000"
98,"우리밀 물냉면 (910g, 2인분)",20%,"5,760","7,200"
99,"우리밀 비빔냉면 (482g, 2인분)",30%,"5,040","7,200"
100,정성가득 호박죽 (450g/1봉),20%,"3,200","4,000"
101,무항생제 한우 고기곰탕 (500g),20%,"9,600","12,000"
102,천연발효종 제주순우유식빵 (490g),28%,"4,680","6,500"
103,천연발효종 크렌베리아몬드 (245g),28%,"4,680","6,500"
104,천연발효종 치즈바게트 (220g),27%,"4,000","5,500"
105,천연발효종 호두단팥빵 (85g),28%,"1,800","2,500"
106,천연발효종 블랙라바 (190g),28%,"3,960","5,500"
107,천연발효종 모닝빵 (190g),28%,"3,240","4,500"
108,천연발효종 올리브치아바타 (160g),28%,"3,240","4,500"
109,천연발효종 잡곡식빵 (390g),28%,"4,680","6,500"
110,우리한우 도가니곰국(1kg),30%,"9,100","13,000"
111,라쿠치나 수프 6종,18%,"2,860","3,500"
112,순(純)명란 (120g),20%,"6,640","8,300"
113,아침미소목장 우유잼(180g),15%,"10,200","12,000"
114,[프로모션] 고소한 리코타 치즈와 시금치 페스토 샐러드 (185g/240kcal),25%,"4,420","5,900"
115,르뱅 쿠키(100g),21%,"4,000","5,100"
116,수제 흑임자 꿀 설기떡(90g*5입),15%,"9,000","10,700"
117,카카오 단백질빵(1입/105g),10%,"4,050","4,500"
118,무항생제 한돈등심 찹쌀 탕수육(500g),21%,"6,900","8,800"
119,무항생제 통등심 옛날 돈까스(135g×5입),24%,"9,500","12,500"
120,무항생제 닭고기 순살찜닭(600g),25%,"8,900","12,000"
