상품명,할인율,할인가,원가,이미지
더 부드러운 식빵(5입/2.4cm 두께),5%,"3,800","4,000",https://www.oasis.co.kr:48581/product/44582/thumb/thumb_44582577f02c8-a89d-43ef-bf72-94e568dbc3d8.jpg_300
천연발효종 치즈바게트 (220g),27%,"4,000","5,500",https://www.oasis.co.kr:48581/product/3482/thumb/thumb_34826535405f-ae5c-45b2-973d-b308597f0524.gif_300
[특가]커스타드 식빵(420g),15%,"5,500","6,500",https://www.oasis.co.kr:48581/product/47114/thumb/thumb_4711460c6b4d8-617d-4492-9828-1cd9a02ff7d7.jpg_300
떡미당 앙꼬절편 흰 (350g),3%,"5,800","6,000",https://www.oasis.co.kr:48581/product/36054/thumb/thumb_360545b6c1aa5-c3a0-4ae3-bb92-303437779bc8.jpg_300
와필레 리에주 와플 (55g~70g) ,0%,"3,800","3,800",https://www.oasis.co.kr:48581/product/43428/thumb/thumb_43428cc6d26c7-2ce9-49d8-a78b-89d6fa785d2d.jpg_300
[입점특가]떡미당 밥알현미영양떡(360g),26%,"5,900","8,000",https://www.oasis.co.kr:48581/product/45192/thumb/thumb_4519295f383b4-0f4c-4c06-a090-fba9f53e3b0d.jpg_300
천연발효종 촉촉우유식빵 (390g),28%,"4,320","6,000",https://www.oasis.co.kr:48581/product/3479/thumb/thumb_3479dd2f3260-d0a7-411c-ae0a-c3a129a7d7f3.jpg_300
강화약쑥 개떡 (1kg),5%,"14,100","14,900",https://www.oasis.co.kr:48581/product/7048/thumb/thumb_7048a5eaa99c-aac8-4df4-8461-26933559872d.jpg_300
"버터밀크 비스퀴(2입, 90g내외)",24%,"3,400","4,500",https://www.oasis.co.kr:48581/product/22554/thumb/thumb_225541a83358d-2ce4-4092-a500-e8896c2cd4d5.jpg_300
[증정특가] 유기농 크로아상 생지(60g×5개입),20%,"10,400","13,000",https://www.oasis.co.kr:48581/product/31730/thumb/thumb_317305d174759-b297-4de7-8d99-b71c70d81c60.jpg_300
천연발효종 잡곡식빵 (390g),28%,"4,680","6,500",https://www.oasis.co.kr:48581/product/3488/thumb/thumb_34886c5d2771-d87a-4dac-9bcb-409883c0865a.gif_300
강화약쑥 송편 (1kg),5%,"15,100","15,900",https://www.oasis.co.kr:48581/product/7057/thumb/thumb_705764eafc74-0ee4-43d0-83ff-4a852431e60c.gif_300
[반얀트리 호텔 몽상클레르]공주밤식빵(250g),11%,"7,500","8,500",https://www.oasis.co.kr:48581/product/38499/thumb/thumb_38499028eee55-bd72-4aac-8e1d-41a6246bf4fd.jpg_300
무설탕 플레인 쌀식빵(245g),14%,"4,600","5,400",https://www.oasis.co.kr:48581/product/7125/thumb/thumb_7125683f8b14-aa02-440c-ae8c-7d0fb5a9bc25.jpg_300
간편한끼 쌀식빵 무화과 125g,10%,"3,510","3,900",https://www.oasis.co.kr:48581/product/38867/thumb/thumb_388671f76c3c9-0089-4796-822f-d427de6e6b81.jpg_300
떡미당 밥알 쑥 찹쌀떡 (360g),7%,"6,000","6,500",https://www.oasis.co.kr:48581/product/36042/thumb/thumb_360427dad32e2-b188-40e9-b5b8-63e66fbd9fd0.jpg_300
국내산 찹쌀떡 (270g | 냉동),10%,"4,680","5,200",https://www.oasis.co.kr:48581/product/2846/thumb/thumb_2846584cd7c7-5a9b-4b8a-bebd-dbf2fc657be0.jpg_300
무농약 쌀로 만든 떡국떡 2종(500g),20%,"4,000","5,000",https://www.oasis.co.kr:48581/product/35858/thumb/thumb_35858322d9cdd-e9df-4a95-94e5-667cad1e3c57.jpg_300
떡미당 밥알 쑥개떡 (360g),15%,"6,800","8,000",https://www.oasis.co.kr:48581/product/36052/thumb/thumb_36052c44c097a-c629-4c3f-8be4-56f4557384b4.jpg_300
떡미당 앙꼬절편 쑥 (350g),3%,"5,800","6,000",https://www.oasis.co.kr:48581/product/36053/thumb/thumb_36053b5f7d63d-187b-435e-95f9-78d5595e3cd9.jpg_300
빵어니스타 비스코티 3종(각 120g),5%,"7,400","7,800",https://www.oasis.co.kr:48581/product/43204/thumb/thumb_43204bfd6ba07-b61a-4e7e-b0d9-11dfe747326a.jpg_300
천연발효종 모닝빵 (190g),28%,"3,240","4,500",https://www.oasis.co.kr:48581/product/3485/thumb/thumb_348585e4c5fe-e1da-463d-a519-77a6deb544e2.PNG_300
떡찌니 유기농 떡볶이떡(500g),20%,"4,400","5,500",https://www.oasis.co.kr:48581/product/35935/thumb/thumb_35935dbe26b12-d6c5-4413-8e62-ba515d34c45b.jpg_300
