상품명,할인율,할인가,원가,이미지
빵어니스타 타르트 4종(각 90g),7%,"5,800","6,300",https://www.oasis.co.kr:48581/product/43208/thumb/thumb_4320867ac03bd-d114-4701-821b-9937c357ae7b.jpg_300
라이스 크로아상 생지 (70g x 4개),25%,"8,900","12,000",https://www.oasis.co.kr:48581/product/21257/thumb/thumb_212574693c84b-7b13-4317-8fac-40c8f817127c.jpg_300
[반얀트리 호텔 몽상클레르]미니 까망베르 치즈 케이크(300g),32%,"16,900","25,000",https://www.oasis.co.kr:48581/product/38505/thumb/thumb_38505c5fab6e1-5268-4815-8cf1-08392bff5526.jpg_300
"[반얀트리 호텔 몽상클레르]가또도랑쥬 파운드 케이크(500g,쇼핑백포함)",37%,"22,000","35,000",https://www.oasis.co.kr:48581/product/38507/thumb/thumb_38507aaa97296-a47e-47d2-8915-3c2c0d1d85d4.jpg_300
무농약 냉동 떡국떡 (500g),15%,"4,080","4,800",https://www.oasis.co.kr:48581/product/3105/thumb/thumb_31051356bea9-ebd9-4b89-a06e-45b62fdc26bd.jpg_300
우리통밀 소시지 핫도그(80g x 5개입),20%,"7,200","9,000",https://www.oasis.co.kr:48581/product/25447/thumb/thumb_25447edaa3084-8e2e-4d82-935d-a53d2a588b04.jpg_300
우리통밀 치즈 핫도그(80g x 5개입),20%,"7,760","9,700",https://www.oasis.co.kr:48581/product/25473/thumb/thumb_25473e70798b5-46ef-4168-97b8-9a8479f7b405.jpg_300
우리통밀 통치즈 핫도그(80g x 5개입),20%,"8,400","10,500",https://www.oasis.co.kr:48581/product/25491/thumb/thumb_254919d4f7bb9-fefa-49d9-9182-896b8eb20fab.jpg_300
[신규입점] 우리밀 사랑 초코와플 65g,34%,"1,760","2,700",https://www.oasis.co.kr:48581/product/47815/thumb/thumb_47815029cd9d1-5725-4714-8752-c8d96c9b51b2.jpg_300
콩 인절미 (240g | 냉동),5%,"3,610","3,800",https://www.oasis.co.kr:48581/product/25159/thumb/thumb_251594ad4d45b-6eea-4ae5-be18-ab313946671c.jpg_300
간편한끼 쌀식빵 바토치 145g,10%,"5,040","5,600",https://www.oasis.co.kr:48581/product/38869/thumb/thumb_38869de7a2e61-d1aa-430a-8c61-ff9405c45f20.jpg_300
우리쌀 조랭이떡 (300g),20%,"2,880","3,600",https://www.oasis.co.kr:48581/product/8778/thumb/thumb_8778b542dcb6-73b7-4766-ae20-024792fb4d04.jpg_300
무설탕 올리브 치즈 쌀식빵(260g),15%,"4,900","5,800",https://www.oasis.co.kr:48581/product/7126/thumb/thumb_712693616562-c750-4f80-94b1-bd745fa895ae.jpg_300
무설탕 감자 모짜렐라 쌀식빵(260g),14%,"4,900","5,700",https://www.oasis.co.kr:48581/product/7128/thumb/thumb_7128457990ca-2cfa-4959-9842-4d7dab2a345c.gif_300
무설탕 쌀베이글 5종 중 1선택,27%,"2,700","3,700",https://www.oasis.co.kr:48581/product/5953/thumb/thumb_5953229f138d-6335-45cc-a0a6-7d85f71f8739.jpg_300
촉촉한 생 도제식빵600g,0%,"6,300","6,300",https://www.oasis.co.kr:48581/product/6910/thumb/thumb_69108c9c884a-1c4c-4902-8f33-c3eec207a357.jpg_300
탕종 통밀식빵(470g),0%,"7,500","7,500",https://www.oasis.co.kr:48581/product/6912/thumb/thumb_6912db3018a7-8e9a-41d7-a5d2-c479b5405470.jpg_300
우리밀 단호박 찐빵 (10입/500g),21%,"5,200","6,600",https://www.oasis.co.kr:48581/product/2370/thumb/thumb_237015b2a80d-df67-4221-8a1e-601643fe7fb0.jpg_300
우리밀 와플 (75gx5입),22%,"8,300","10,700",https://www.oasis.co.kr:48581/product/11720/thumb/thumb_11720847fd4d0-fe34-46ee-b66c-2301420878b2.jpg_300
오븐에 구운 멘보샤(240g),36%,"9,500","14,900",https://www.oasis.co.kr:48581/product/30811/thumb/thumb_30811765e0937-20bc-4566-8375-424cd91190fe.jpg_300
[반얀트리 호텔 몽상클레르]가또아만디에 파운드 케이크(500g),37%,"22,000","35,000",https://www.oasis.co.kr:48581/product/38506/thumb/thumb_385062c304aeb-5f21-4d51-af1d-0d89a066b5b6.jpg_300
블랙 쌀식빵 블루베리크림 140g,10%,"4,230","4,700",https://www.oasis.co.kr:48581/product/38865/thumb/thumb_3886520235647-96ea-4666-8243-d55b3c7bcd94.jpg_300
블랙 쌀식빵 트리플치즈 95g,10%,"4,230","4,700",https://www.oasis.co.kr:48581/product/38864/thumb/thumb_3886458b49093-7bc3-4bd5-9e64-1491dc0f2b39.jpg_300
천연발효종 블랙라바 (190g),28%,"3,960","5,500",https://www.oasis.co.kr:48581/product/3484/thumb/thumb_3484ef5c640e-8ddc-4241-943f-d8f6d62e1b10.jpg_300
우리밀 흑미 찐빵 (10입/500g),10%,"5,900","6,600",https://www.oasis.co.kr:48581/product/1994/thumb/thumb_19947a3b9163-f0cc-4654-87f2-6f19b2f5dc38.jpg_300
국내산 현미 꿀떡 (240g |  냉동),9%,"3,180","3,500",https://www.oasis.co.kr:48581/product/2687/thumb/thumb_26870b516812-c941-454f-b8d6-22421b36d1e5.jpg_300
떡찌니 말랑 쑥 앙꼬 절편(600g),20%,"10,400","13,000",https://www.oasis.co.kr:48581/product/35966/thumb/thumb_35966003ba893-8e72-4144-8491-fd030bdbebae.jpg_300
천연발효종 제주순우유식빵 (490g),28%,"4,680","6,500",https://www.oasis.co.kr:48581/product/3480/thumb/thumb_3480db32c1e5-b922-4ca2-8c89-b2095a6bf467.gif_300
떡찌니 유기농 떡국떡(500g),9%,"5,000","5,500",https://www.oasis.co.kr:48581/product/8310/thumb/thumb_83103c4746eb-abc3-453f-9698-0312298c8b3e.jpg_300
떡찌니 유기농 삼색 꿀떡(600g),20%,"7,840","9,800",https://www.oasis.co.kr:48581/product/35939/thumb/thumb_35939378e4ee5-40d8-411d-8426-5a68bfae5be9.jpg_300
떡찌니 말랑 앙꼬 절편(600g),20%,"10,000","12,500",https://www.oasis.co.kr:48581/product/35962/thumb/thumb_3596298557f50-1571-402e-a72d-3d086f0952e0.jpg_300
떡찌니 유기농 현미떡국떡(500g),20%,"5,200","6,500",https://www.oasis.co.kr:48581/product/35936/thumb/thumb_359369d8c020e-cdeb-4b61-ba24-2dd3bf1ee78e.jpg_300
떡찌니 구워먹는 말랑 앙꼬 가래떡 2종(각 400g),20%,"6,800","8,500",https://www.oasis.co.kr:48581/product/36483/thumb/thumb_364830f633e2c-1529-4e8b-b0ab-96b3c6d5787a.jpg_300
망넛 찹싸루니 6종(90g),2%,"3,400","3,500",https://www.oasis.co.kr:48581/product/31592/thumb/thumb_31592d78ed2db-46b5-4cb0-b41d-0e49a057cf35.jpg_300
우리밀 우리쌀 찐빵 (10입/500g),21%,"5,200","6,600",https://www.oasis.co.kr:48581/product/1993/thumb/thumb_199393556abd-ce45-47f1-917f-1022a9585110.jpg_300
우리밀 고구마 찐빵 (10입/500g),21%,"5,200","6,600",https://www.oasis.co.kr:48581/product/2371/thumb/thumb_2371296daa7f-d326-4d9f-af9f-31c8df1c60c0.jpg_300
한우한돈 우리밀 치즈폭탄 불고기피자(470g),30%,"8,700","12,500",https://www.oasis.co.kr:48581/product/36868/thumb/thumb_36868e9e27c62-b60f-4a8f-bd92-2f164ed7529c.jpg_300
저당저칼로리 꼬랑지마카롱(60~120g),27%,"8,500","11,800",https://www.oasis.co.kr:48581/product/41266/thumb/thumb_4126631c67daf-64bf-49f4-b9b3-2a34dc3713ab.jpg_300
무항생제 잇퀄리티 핫도그 3종(90g×4입),11%,"7,900","8,900",https://www.oasis.co.kr:48581/product/42861/thumb/thumb_428614921ce5a-8370-4229-b72c-9c577d6963cf.jpg_300
빵어니스타 노오일 파운드 4종(각 140g),8%,"5,060","5,500",https://www.oasis.co.kr:48581/product/43198/thumb/thumb_43198ef67855d-9ae7-426e-a732-a45d54792b8f.jpg_300
이상복 명과 아이스 찰보리빵 세트(30개입),10%,"22,500","25,000",https://www.oasis.co.kr:48581/product/40926/thumb/thumb_40926521219ff-9220-481f-8d6e-5cd0cc01af46.jpg_300
이상복 명과 경주빵(40g x 4개입),4%,"4,280","4,500",https://www.oasis.co.kr:48581/product/40922/thumb/thumb_409227ed1aead-b142-4719-aef4-414e739d2289.jpg_300
이상복 명과 계피빵 세트(10개입)[쇼핑백포함],3%,"11,640","12,000",https://www.oasis.co.kr:48581/product/40925/thumb/thumb_409257c3d697d-1ea3-4c65-a0bb-9b011ff824a7.jpg_300
100% 땅콩 스프레드(240g),24%,"9,800","13,000",https://www.oasis.co.kr:48581/product/43177/thumb/thumb_431776a93f3ac-9c9a-4677-8959-91525244e9bd.jpg_300
달곰 쌀 오란다(26gx10개입),17%,"12,000","14,500",https://www.oasis.co.kr:48581/product/35813/thumb/thumb_35813f990709e-2c2a-45fa-ac9a-6c6d4f853ebd.jpg_300
초코 쌀 오란다(28gx10개입),17%,"12,000","14,500",https://www.oasis.co.kr:48581/product/35814/thumb/thumb_358145375fa73-13b3-45c8-bca8-0c18bcfe52fd.jpg_300
화이트 쌀 오란다(30gx10개입),17%,"12,000","14,500",https://www.oasis.co.kr:48581/product/35815/thumb/thumb_358158640e275-c070-4ec9-bd8d-5ac118a6df7c.jpg_300
이상복 명과 경주빵(20개입/10개입)[쇼핑백포함],5%,"9,500","10,000",https://www.oasis.co.kr:48581/product/40923/thumb/thumb_40923c8e2e0a0-6b7f-46b4-8d34-84ec4f427b30.jpg_300
이상복 명과 계피빵(38g x 4개입),5%,"4,750","5,000",https://www.oasis.co.kr:48581/product/40924/thumb/thumb_40924052e9513-2dd6-48fb-a47f-1bd038e373f1.jpg_300
천연발효종 올리브치아바타 (160g),28%,"3,240","4,500",https://www.oasis.co.kr:48581/product/3487/thumb/thumb_3487b76cf90b-9f16-4b62-85b3-b02331a0dd2a.jpeg_300
수제 흑임자 꿀 설기떡(90g*5입),15%,"9,000","10,700",https://www.oasis.co.kr:48581/product/7938/thumb/thumb_793806c00283-3da3-4849-871b-6da5ac331e35.jpg_300
천연발효종 크렌베리아몬드 (245g),28%,"4,680","6,500",https://www.oasis.co.kr:48581/product/3481/thumb/thumb_3481c7eb2b92-1b9f-4f18-be40-4a09ddf676a7.PNG_300
단호박 단백질빵(1입/105g),10%,"4,050","4,500",https://www.oasis.co.kr:48581/product/8606/thumb/thumb_8606541dddc8-2456-4315-a8b1-913693d6e126.jpg_300
천연발효종 호두단팥빵 (85g),28%,"1,800","2,500",https://www.oasis.co.kr:48581/product/3483/thumb/thumb_348309e2e7d3-60e1-4695-bff3-ee0df16c45c5.PNG_300
카카오 단백질빵(1입/105g),10%,"4,050","4,500",https://www.oasis.co.kr:48581/product/8608/thumb/thumb_8608ef8c09c9-2499-4843-b319-a7cc49b489b6.jpg_300
우리밀 치즈폭탄 시카고피자(420g),19%,"7,900","9,800",https://www.oasis.co.kr:48581/product/27776/thumb/thumb_27776c779f91d-550c-4e55-9da9-1d6151914745.gif_300
무농약 쌀로 만든 떡볶이떡 2종(500g),30%,"3,500","5,000",https://www.oasis.co.kr:48581/product/35867/thumb/thumb_3586792581a46-57a2-47db-8eb1-34ea1de29e9b.jpg_300
"[반얀트리 호텔 몽상클레르] 바통 1호세트(26gx5입,쇼핑백포함)",42%,"12,000","21,000",https://www.oasis.co.kr:48581/product/38511/thumb/thumb_38511ae939184-9e6b-4d24-a3be-fb1f604244dd.jpg_300
천연발효종 론도 (250g),28%,"3,960","5,500",https://www.oasis.co.kr:48581/product/3486/thumb/thumb_3486d527716f-2167-4694-acc4-d078638253f7.jpg_300
수제 우유 꿀설기떡(90g*5입),15%,"5,950","7,000",https://www.oasis.co.kr:48581/product/7935/thumb/thumb_793575a5fefd-8d82-4349-89c5-aedbde347077.jpg_300
수제 제주해풍쑥 설기떡(90g*5입),15%,"9,000","10,700",https://www.oasis.co.kr:48581/product/7936/thumb/thumb_7936255d268e-2383-4960-8bb3-679f666dd6cf.jpg_300
수제 단호박 설기떡(90g*5입),20%,"7,200","9,000",https://www.oasis.co.kr:48581/product/7937/thumb/thumb_793711fb2249-0ddb-400e-a467-0216fc6dd531.jpg_300
당근 단백질빵(1입/105g),10%,"4,050","4,500",https://www.oasis.co.kr:48581/product/8607/thumb/thumb_86072a4ac709-eed3-444e-ab54-465a48f16e83.jpg_300
국내산 쑥오쟁이떡 (600g | 냉동),11%,"11,090","12,600",https://www.oasis.co.kr:48581/product/2688/thumb/thumb_2688d9dc48b6-fc1f-41ab-a48f-83466ece8119.jpg_300
무농약 찰수수 부꾸미 (50g x 10개 | 냉동),6%,"9,150","9,800",https://www.oasis.co.kr:48581/product/3566/thumb/thumb_3566b0d39c2e-46f1-4a9a-b688-847038ad3691.jpg_300
국내산 한입 단팥호떡 (200g | 냉동),10%,"3,600","4,000",https://www.oasis.co.kr:48581/product/3080/thumb/thumb_30809aa1debe-717a-49a6-817b-d0e4e22c9f2f.jpg_300
국내산 한입 쌀호떡 (200g | 냉동),10%,"3,240","3,600",https://www.oasis.co.kr:48581/product/3124/thumb/thumb_3124dd863c34-0df0-4ecc-8c0c-9c775e6ef235.jpg_300
국내산 쑥경단 (240g | 냉동),12%,"4,480","5,100",https://www.oasis.co.kr:48581/product/2689/thumb/thumb_268955580ed8-4db6-4cc7-b373-dedb0f281136.png_300
대구 쑥 꿀떡240g(16g x 15알),20%,"4,000","5,000",https://www.oasis.co.kr:48581/product/3666/thumb/thumb_3666ae1ab6e2-9cf9-4e83-a8bc-4db30f86b8d5.jpg_300
대구 꿀떡240g(16g x 15알),20%,"3,200","4,000",https://www.oasis.co.kr:48581/product/3665/thumb/thumb_36658ed38662-30d2-4a49-88bb-d174f0e445dc.jpg_300
엄마가구워주는현미치즈떡(430g),20%,"5,300","6,700",https://www.oasis.co.kr:48581/product/1900/thumb/thumb_190096a897d3-56a1-45ef-a025-2fa2cb7e7581.jpg_300
명인이 만든 생강엿 (250g),10%,"4,860","5,400",https://www.oasis.co.kr:48581/product/1544/thumb/thumb_15446a9f61b9-c9d6-4de5-a36a-45b25c39a22c.jpg_300
옛날 호박엿 300g,10%,"4,860","5,400",https://www.oasis.co.kr:48581/product/2116/thumb/thumb_2116370a92b8-6609-4ada-91a9-7e901b9fbe3e.jpg_300
고소한강정(130g),0%,"8,400","8,400",https://www.oasis.co.kr:48581/product/43898/thumb/thumb_43898ebe285a5-6b7e-4ba7-81ca-a0e16ec71e29.jpg_300
"[나폴레옹] 수제 쿠키 로메아(1통, 110g)",7%,"10,200","11,000",https://www.oasis.co.kr:48581/product/38699/thumb/thumb_38699f16e7bf4-7a9c-4e27-81a6-d8acfbaf2ad1.jpg_300
"[나폴레옹] 수제쿠키 바닐라초코(1통, 140g)",7%,"10,200","11,000",https://www.oasis.co.kr:48581/product/38703/thumb/thumb_3870312db7028-09b4-49aa-bea8-a30ac9fd2500.jpg_300
간편한끼 쌀식빵 어니언크림 140g,17%,"3,800","4,600",https://www.oasis.co.kr:48581/product/38868/thumb/thumb_38868ac62218f-d8ad-4b88-8f5e-db63191f7b96.jpg_300
화이트크림 깐쇼새우 호밀 샌드위치(하프/160g),11%,"4,490","5,100",https://www.oasis.co.kr:48581/product/17018/thumb/thumb_170186cbc0fec-c834-4edd-8030-2acc2bb3d7b9.jpg_300
햄치즈 치아바타 샌드위치(280g),11%,"5,900","6,700",https://www.oasis.co.kr:48581/product/16941/thumb/thumb_16941b22975af-ae87-4574-bea0-8545a8aef1c5.jpg_300
홀그레인 허니머스타드 베이컨 호밀 샌드위치(하프/135g),12%,"4,400","5,000",https://www.oasis.co.kr:48581/product/16965/thumb/thumb_16965b429bc0d-502a-41d8-b7d9-c958bb9c0c54.jpg_300
데리야끼 닭가슴살 호밀 샌드위치(하프/160g),12%,"4,310","4,900",https://www.oasis.co.kr:48581/product/17001/thumb/thumb_1700128a0e8ea-752c-4f0c-9803-ffc370a1a89a.jpg_300
바질페스토 닭가슴살 호밀 샌드위치(하프/150g),12%,"4,400","5,000",https://www.oasis.co.kr:48581/product/16986/thumb/thumb_169866dec44d0-0f3d-48a1-9a92-fc2e9e633843.jpg_300
참치마요 치아바타 샌드위치(320g),12%,"6,420","7,300",https://www.oasis.co.kr:48581/product/16930/thumb/thumb_16930931853b2-9d37-4b6b-937c-ad8d9cd3e2e4.jpg_300
무설탕 모짜렐라 쌀식빵(260g),14%,"4,900","5,700",https://www.oasis.co.kr:48581/product/7127/thumb/thumb_71279580f243-aa00-4ceb-8d62-4e2366f40e91.gif_300
[증정특가] 아이스 전통 찰보리병(30g×10입),20%,"7,800","9,800",https://www.oasis.co.kr:48581/product/27344/thumb/thumb_27344c0e32191-8cbc-4053-9233-d205e13bfb11.jpg_300
볼라레 마르게리타피자 320g,20%,"11,900","15,000",https://www.oasis.co.kr:48581/product/34117/thumb/thumb_34117156b8b6f-6d0a-46c3-8c8c-7f15c746f253.jpg_300
"[나폴레옹]아몬드 스폰지(1박스, 663g)",0%,"24,800","25,000",https://www.oasis.co.kr:48581/product/38689/thumb/thumb_386898c6880dc-c350-43c0-b49b-e38a209e56d7.jpg_300
