인덱스,상품명,할인율,할인가,원가,이미지
32,볼로네제 새송이 파스타(350g),20%,"4,900","6,200",https://www.oasis.co.kr:48581/product/33083/thumb/thumb_330835f582fb1-4d11-4110-94cb-f2c1c438a5b2.jpg_300
33,먹태구이(80g이상/3미),27%,"6,500","9,000",https://www.oasis.co.kr:48581/product/34185/thumb/thumb_341853c72aded-0a73-4231-a4e9-dc221d67a225.jpg_300
34,쉬림프 바스켓(300g),35%,"5,500","8,500",https://www.oasis.co.kr:48581/product/36063/thumb/thumb_3606328f2fa9e-a17d-46b5-afb2-00caa355aa46.jpg_300
35,잇딸리아 고르곤 수제화덕피자(300g),24%,"8,200","10,900",https://www.oasis.co.kr:48581/product/36690/thumb/thumb_366904c0d0a3d-3643-4b54-bb5a-ffbd9eb71a21.jpg_300
36,한우한돈 우리밀 치즈폭탄 불고기피자(470g),30%,"8,700","12,500",https://www.oasis.co.kr:48581/product/36868/thumb/thumb_36868e9e27c62-b60f-4a8f-bd92-2f164ed7529c.jpg_300
37,국산 꽃징어 수제튀김(230g),18%,"8,000","9,800",https://www.oasis.co.kr:48581/product/37674/thumb/thumb_376740e2f73ed-ac39-4cad-918d-9ebf9f610a4b.jpg_300
38,펭귄 수제화덕피자 고르곤졸라(315g),7%,"11,000","11,900",https://www.oasis.co.kr:48581/product/40840/thumb/thumb_4084004d05ccb-bb0e-412b-884e-d085eedc9061.jpg_300
39,빵어니스타 타르트 4종(각 90g),7%,"5,800","6,300",https://www.oasis.co.kr:48581/product/43208/thumb/thumb_4320867ac03bd-d114-4701-821b-9937c357ae7b.jpg_300
40,아이스 유기농 무화과 (600g),20%,"11,900","15,000",https://www.oasis.co.kr:48581/product/3746/thumb/thumb_374675b1ffa9-0389-429d-b78b-f3a238b72225.jpg_300
41,미니 김치만두(180g/1봉),37%,"1,850","2,950",https://www.oasis.co.kr:48581/product/26061/thumb/thumb_26061ddc00bc7-bbe3-49ca-ac95-3de319d37db1.jpg_300
42,포항 구룡포 과메기 (330g내외),25%,"16,500","22,000",https://www.oasis.co.kr:48581/product/65/thumb/thumb_6527139031-df5e-4953-a155-6ae3d8f89f63.jpg_300
43,한돈으로 만든 육포 50g,5%,"4,270","4,500",https://www.oasis.co.kr:48581/product/2196/thumb/thumb_2196020d275c-d720-4264-98e6-8c0c8417bc25.jpg_300
44,국산 명품 아구포 (150g),20%,"8,000","10,000",https://www.oasis.co.kr:48581/product/3856/thumb/thumb_3856228f722d-72f1-4cd7-b2c8-6830e7252dae.jpg_300
45,"참 맛있는 국물떡볶이(410g, 2인분)",28%,"4,900","6,900",https://www.oasis.co.kr:48581/product/5734/thumb/thumb_57347d7b10ae-bb71-42be-ac07-475c6716cd4e.gif_300
46,한입팝콘치킨 (280g),36%,"3,300","5,200",https://www.oasis.co.kr:48581/product/47732/thumb/thumb_47732e3bf4131-91b9-4519-8ae2-05a969b1ae00.jpg_300
47,매니멀스모크하우스 베이비백립(500g),37%,"16,800","26,900",https://www.oasis.co.kr:48581/product/36365/thumb/thumb_3636540fe3eff-a8a3-44e9-b581-6073254af039.jpg_300
48,"백리향 마파두부(3인분,812.5g)",15%,"14,200","16,900",https://www.oasis.co.kr:48581/product/32908/thumb/thumb_32908b892efd9-8544-497f-bb34-405a669cb8bd.PNG_300
49,국내산 매콤주꾸미 (300g),25%,"9,580","12,800",https://www.oasis.co.kr:48581/product/13449/thumb/thumb_134491a9a2a85-cdb0-4d9b-bdb6-8333f2422077.png_300
50,"바사삭 치킨 한마리(12조각, 500g)",15%,"7,600","8,980",https://www.oasis.co.kr:48581/product/26530/thumb/thumb_2653000ee08a2-21c4-4a0b-8730-7949584d179a.jpg_300
51,잇딸리아 콰트로포르마지 수제화덕피자(330g),24%,"8,200","10,900",https://www.oasis.co.kr:48581/product/36689/thumb/thumb_36689c8eaa573-a9a6-4e51-b585-3d5f3e541afd.jpg_300
52,국내산 간편 떡볶이 (530g),9%,"6,940","7,700",https://www.oasis.co.kr:48581/product/3577/thumb/thumb_3577b87b6a09-9447-47c3-a84c-7ebf68a0af25.jpg_300
53,"눈다랑어 뱃살 슬라이스(100g 이상, 10ps)",4%,"5,230","5,500",https://www.oasis.co.kr:48581/product/28291/thumb/thumb_28291bc28e015-2bcf-4828-b00c-14eca0102547.jpg_300
54,"눈다랑어 속살 슬라이스(100g 이상, 10ps)",10%,"5,220","5,800",https://www.oasis.co.kr:48581/product/28292/thumb/thumb_28292021e17a6-952d-4fbc-8555-4fa3b5ccbcd4.jpg_300
55,"참다랑어 오도로 슬라이스(100g 이상, 10ps)",12%,"12,200","13,900",https://www.oasis.co.kr:48581/product/28293/thumb/thumb_2829369523ba1-d2f0-4d70-b5ff-c5259748b222.jpg_300
