인덱스,상품명,할인율,할인가,원가,이미지
0,[입점특가] 통곡물 그래놀라 (300g),33%,"7,200","10,800",https://www.oasis.co.kr:48581/product/47814/thumb/thumb_47814c2397706-e2f4-4de9-87cf-d2c7d0df05fc.jpg_300
1,유기농 시리얼 헤리티지 플레이크 (375g),27%,"6,200","8,500",https://www.oasis.co.kr:48581/product/31389/thumb/thumb_31389be1d8766-caec-47c8-bd25-df93cc11d192.jpg_300
2,유기농 오색볶은곡식 후레이크 150g,20%,"3,600","4,500",https://www.oasis.co.kr:48581/product/36898/thumb/thumb_368980e736fd2-2fb4-44d0-a786-a7b799b8d5cd.jpg_300
3,유기농 러브크런치 다크초콜릿&피넛버터(325g),24%,"7,200","9,500",https://www.oasis.co.kr:48581/product/37658/thumb/thumb_376588f64e6a8-b4a5-44d2-813e-545388416d3e.jpg_300
4,똑똑한 한끼견과 우리곡물(32g),16%,"2,500","3,000",https://www.oasis.co.kr:48581/product/24186/thumb/thumb_241867df842bf-15de-4e02-ae8a-c87885a93249.jpg_300
5,유기농 시리얼 초코침스(284g),24%,"6,800","9,000",https://www.oasis.co.kr:48581/product/29590/thumb/thumb_29590e0e8b9bd-3652-446d-a937-9740fde8c07d.jpg_300
6,[비건]유기농 시리얼 치타촘스(284g),19%,"6,800","8,400",https://www.oasis.co.kr:48581/product/29591/thumb/thumb_29591e9128e48-e013-47a4-bc18-84135e131f22.jpg_300
7,유기농 러브크런치 다크초콜릿&레드베리(325g),17%,"7,800","9,500",https://www.oasis.co.kr:48581/product/29594/thumb/thumb_295948364f0e8-ba90-4b58-9fb4-d82a9dcff447.jpg_300
8,"유기농 플레이크 2종 (옥수수, 카카오)",20%,"6,000","7,500",https://www.oasis.co.kr:48581/product/4275/thumb/thumb_42750f08c523-c850-48e6-82f7-e42b192052cf.jpg_300
9,아비삭 딸기 라이스볼(30g),15%,"3,400","4,000",https://www.oasis.co.kr:48581/product/16367/thumb/thumb_16367d1254655-1387-47ea-a0d4-a4981007f15a.jpg_300
10,아비삭 후르츠 넛츠바 귤(25gx3입),19%,"4,100","5,100",https://www.oasis.co.kr:48581/product/16417/thumb/thumb_164175fa77e09-3ba4-4d1e-9205-3aed9f00568b.jpg_300
11,유기농 시리얼 3종 (초코볼/채소/해달별),12%,"5,980","6,800",https://www.oasis.co.kr:48581/product/4036/thumb/thumb_40369a447906-0b4c-4ba2-869d-6cc214e6f7e8.jpg_300
12,통아몬드 초코볼,24%,"1,900","2,500",https://www.oasis.co.kr:48581/product/45254/thumb/thumb_452541bf48470-8d1d-4ae4-b79e-728a232d7012.jpg_300
13,통헤이즐넛 초코볼,24%,"1,900","2,500",https://www.oasis.co.kr:48581/product/45256/thumb/thumb_45256345359ad-e790-4140-8667-315947a215e4.jpg_300
14,마카다미아 초코볼,22%,"2,100","2,700",https://www.oasis.co.kr:48581/product/45257/thumb/thumb_45257f19da036-078e-467a-8b79-dd6787b5facb.jpg_300
15,"유기농 시리얼바 3종 (견과, 그래놀라, 콘후레이크)* 5입",10%,"6,210","6,900",https://www.oasis.co.kr:48581/product/4322/thumb/thumb_4322edb78960-e273-4721-b168-88e6c2e13472.jpg_300
16,유기농 그래놀라 사과&건포도 400g,10%,"8,800","9,800",https://www.oasis.co.kr:48581/product/1972/thumb/thumb_1972754db8fe-d1f5-464e-88d8-cd83ba394633.jpg_300
17,유기농 그래놀라 코코넛&레드베리 (300g),10%,"8,800","9,800",https://www.oasis.co.kr:48581/product/1973/thumb/thumb_19739fcd146a-3bbd-4e6a-b8b0-77496ea78441.jpg_300
18,유기농 콘후레이크&레드베리 (250g),8%,"7,100","7,800",https://www.oasis.co.kr:48581/product/1974/thumb/thumb_1974e1dd1a44-d2f9-4882-8530-dc1d9029ae45.jpg_300
19,유기농 키드믹스 (240g),8%,"7,300","8,000",https://www.oasis.co.kr:48581/product/1977/thumb/thumb_197717e8e8df-67b7-4811-9e96-25d50b3db0f3.jpg_300
20,아비삭 후르츠 에스바 딸기(25gx3입),19%,"4,100","5,100",https://www.oasis.co.kr:48581/product/16428/thumb/thumb_1642827895f23-7639-4fd1-8870-36005cb251c4.jpg_300
21,아비삭 단호박 라이스볼(30g),15%,"3,400","4,000",https://www.oasis.co.kr:48581/product/16364/thumb/thumb_1636446f9f9a8-cefc-4add-a084-5da629fa40af.jpg_300
22,아비삭 후르츠 라이스볼(30g),15%,"3,400","4,000",https://www.oasis.co.kr:48581/product/16377/thumb/thumb_16377594f8305-6808-4f78-896b-afcb5fe8f264.jpg_300
