인덱스,상품명,가격,이미지
0,일상면옥 떡국&떡만둣국 밀키트 (2인분),"8,800원",https://image.wingeat.com/item/main/2d4cb045c9ac41dca1113ab293acb3cc-w600.jpg
1,[윙잇X프렙] 갈릭 앤초비 오일 파스타 (287g),"9,900원",https://image.wingeat.com/item/images/129a0b8d-9926-41a4-bb1e-b2cbdb644c00-w600.jpg
2,[윙잇X프렙] 더블 트러플오일 버섯크림 리조또 (472g),"10,900원",https://image.wingeat.com/item/images/172264d8-0b32-4489-ba15-cd18f955884b-w600.jpg
3,문현전통한우곱창전골(실속형),"21,700원",https://image.wingeat.com/item/images/867c5257-52a6-4d8f-a2cc-5aefbfb25b5c-w600.jpg
4,"파파쿡 소고기 스키야키 1,014g (2인분)","17,910원",https://image.wingeat.com/item/images/bfa9f2ca-1a7d-40f9-9d66-39e210b7cd28-w600.jpg
5,하코야 돈마호크카츠 (생와사비&소스 포함),"9,900원",https://image.wingeat.com/item/main/d88aaf1c9aff42f3a4d446c3a0a7a4ab-w600.jpg
6,유동 골뱅이소면 밀키트 (2-3인분),"8,300원",https://image.wingeat.com/item/images/bad011fb-a6ec-4fde-8feb-ae8b52b379ee-w600.png
7,푸드어셈블 채선당 월남쌈 밀키트 (2인분),"15,900원",https://image.wingeat.com/item/images/5958c548-3ebd-4295-901a-3eb817f44d6f-w541.jpg
8,청와대 출신 강태현 셰프의 나주곰탕 (500g),"6,400원",https://image.wingeat.com/item/main/a5f7bff90ad24fccbb1792b23ce2aaa1-w600-v2.jpg
9,사계백반 반찬 3구 세트 4종,"4,410원",https://image.wingeat.com/item/main/e4e5e80af01d4f51bed1bc836a7ade09-w600-v2.jpg
10,살얼음 초계 국수&막국수 (물/비빔),"4,900원",https://image.wingeat.com/item/main/a7dfafcb4ea44f06a6b604e30870a153-w600-v2.jpg
11,"[고른] 안동식 순살 찜닭 (2인분, 750g)","12,900원",https://image.wingeat.com/item/main/beabd2524de342ad9fb5e32ad70102a8-w600-v2.jpg
12,"[고른] 로제 크림 닭갈비 떡볶이 (700g, 2인분)","11,900원",https://image.wingeat.com/item/images/f7ad13ad-6860-4d78-a4b0-bbdcf8099f5a-w600.jpg
13,"[고른] 춘천 닭갈비 (2인분, 700g)","10,900원",https://image.wingeat.com/item/main/c55a6f59a4be44d882257f12857cfc18-w600.jpg
14,"[고른] 순살 매콤 닭볶음탕 (2인분, 850g)","12,900원",https://image.wingeat.com/item/images/4dd2c2c1-6909-4eb1-898f-1cb87a1afbf1-w600.jpg
15,마이하노이 고기폭탄쌀국수 (오리지널/매운맛) ,"6,900원",https://image.wingeat.com/item/main/61dc9ec6488749aea6d97f423e03a979-w600-v2.jpg
16,[고른] 가득찬 알탕 밀키트 (2인분),"15,500원",https://image.wingeat.com/item/main/947ace611deb4668adaffd8eb7d074ed-w600.jpg
17,프롬셰프 바로 라자냐 4종 (400g),"9,200원",https://image.wingeat.com/item/images/7be011d2-a064-41e4-8553-95ec296cc0e5-w600.jpg
18,"고메공방 돈까스 김치나베 우동 (리뉴얼, 585g)","8,900원",https://image.wingeat.com/item/main/741fe03dcb4948db93645b0bc83e4e07-w600-v2.jpg
19,시골보쌈과 감자옹심이 감자 옹심이 칼국수 3종 (2인분),"9,100원",https://image.wingeat.com/item/main/41d02bc9e9ae4e8b812dfddfc6e649ea-w600.jpg
20,세미원 인도커리 & 갈릭버터 난 (2인분),"7,100원",https://image.wingeat.com/item/main/dbae703b28b64c9fb03115f4c52e1e7b-w600.jpg
21,"[고른] 치즈김치 닭갈비 (2인분, 745g)","10,900원",https://image.wingeat.com/item/main/58efad1ee73a426a8f05bba740da33b1-w600.jpg
22,제천빨간오뎅 떡볶이/빨간어묵 세트 (2-3인분),"4,500원",https://image.wingeat.com/item/main/2398355e8fd64343923317ec026a4365-w600.jpg
23,사계백반 수제 모둠전 4종 (350g),"11,900원",https://image.wingeat.com/item/main/c641a4f5397c4b9a90e08ddfe3f30cd0-w600.jpg
