인덱스,상품명,할인율,할인가,원가,이미지
0,[입점특가] 메쉬포테이토와 케이준 치킨 샐러드 랩(200g/350kcal),20%,"4,720","5,900",https://www.oasis.co.kr:48581/product/48167/thumb/thumb_481673bfe98e0-d7f2-47af-8097-50ff524c44e9.jpg_300
1,홀그레인 허니머스타드 베이컨 호밀 샌드위치(하프/135g),12%,"4,400","5,000",https://www.oasis.co.kr:48581/product/16965/thumb/thumb_16965b429bc0d-502a-41d8-b7d9-c958bb9c0c54.jpg_300
2,[특가]해담은 전복닭죽 450g,21%,"6,200","7,900",https://www.oasis.co.kr:48581/product/32720/thumb/thumb_32720fd15a9bc-8719-4a32-9a66-0296017b65a6.jpg_300
