인덱스,상품명,할인율,할인가,원가,이미지
0,5가지 국산 곡물로 만든 영양찰약밥(250g),17%,"2,900","3,500",https://www.oasis.co.kr:48581/product/42979/thumb/thumb_429798a072fbb-b0c3-4c27-80cf-befdab4a99e7.jpg_300
1,훈제연어 슬라이스(200g),10%,"9,900","11,000",https://www.oasis.co.kr:48581/product/8813/thumb/thumb_8813ce976fa6-4792-49ee-96fc-7ba02672dbcd.jpg_300
2,부드러운생연어살 (180g),36%,"11,300","17,800",https://www.oasis.co.kr:48581/product/3244/thumb/thumb_32444dc0e67d-2129-42fa-a371-74b9d07f9829.jpg_300
3,하동재첩국 (500g),18%,"4,500","5,500",https://www.oasis.co.kr:48581/product/3748/thumb/thumb_37481cb7dc9a-51e5-4e96-9b9d-6cec4498e70a.jpg_300
